numero,articulo,epigrafe,libro,titulo,capitulo,seccion,tema,cubierto,entradas_catalogo,nombres_catalogo,texto_primeros_200
214,Art. 214 CP,Trato degradante,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Quien ocasiona a una persona un trato degradante mediante violencia física, psicológica o verbal, de modo que atenta gravemente contra su integridad moral, debe ser castigado con las penas de prisión "
215,Art. 215 CP,Amenaza para obtener confesión,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"El agente de la autoridad, funcionario o empleado público que amenaza a una persona con causarle un mal a ella, a su familia o, a otras personas con las que está íntimamente vinculada, con el fin de o"
216,Art. 216 CP,Tortura,Libro II,Título VII,Capítulo II,,delitos,SI,4,Tortura; Trato degradante; Trato degradante en el ámbito laboral; Trato degradante en residencia de mayores,Comete tortura el funcionario o empleado público que en el ejercicio de su cargo y con el fin de obtener una confesión o información de cualquier persona o de castigarla por cualquier hecho que ha com
217,Art. 217 CP,"Tratos crueles, inhumanos o degradantes por funcionario público",Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Comete el delito de tratos crueles, inhumanos o degradantes, el funcionario o empleado público, que en el ejercicio de su cargo, causa un menoscabo a la integridad moral de una persona, sin que la acc"
218,Art. 218 CP,Concursos,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Las penas previstas en los artículos anteriores se deben imponer sin perjuicio de las que correspondan, en su caso, por delitos cometidos contra la vida, integridad corporal, salud, libertad ambulator"
219,Art. 219 CP,Trata de personas,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Incurre en el delito de trata de personas y será castigado con una pena de prisión de diez (10) a quince (15) años, quien facilite, promueva o ejecute la captación, el transporte, el traslado, la acog"
220,Art. 220 CP,Agravantes específicas,Libro II,Título VII,Capítulo II,,delitos,SI,1,Abandono del lugar del accidente,"Se debe incrementar la pena en un tercio (1/3) cuando concurra alguna de las circunstancias siguientes:  1) Se pone en peligro la vida, la integridad física o psíquica o la salud de la víctima;  2) La"
221,Art. 221 CP,Explotación en condiciones de esclavitud o servidumbre,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Quien, ejerciendo sobre otra persona un poder de disposición o control, le impone o la mantiene en un estado de sometimiento continuado, obligándola a realizar actos, trabajos o a prestar servicios, d"
222,Art. 222 CP,Explotación de la mendicidad,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Quien utiliza a un menor de dieciocho (18) años, persona de avanzada edad o con discapacidad necesitada de especial protección en la práctica de la mendicidad, debe ser castigado con la pena de arrest"
223,Art. 223 CP,Inseminación artificial y otras técnicas de reproducción asistida no consentidas,Libro II,Título VII,Capítulo II,,delitos,NO,0,,"Quien insemina artificialmente a una mujer sin su consentimiento, debe ser castigado con las penas de prisión de cuatro (4) a seis (6) años y multa de cien (100) a quinientos (500) días.  En las misma"
