articulo,epigrafe,libro,titulo,capitulo
Art. 214 CP,Trato degradante,Libro II,Título VII,Capítulo II
Art. 215 CP,Amenaza para obtener confesión,Libro II,Título VII,Capítulo II
Art. 217 CP,"Tratos crueles, inhumanos o degradantes por funcionario público",Libro II,Título VII,Capítulo II
Art. 218 CP,Concursos,Libro II,Título VII,Capítulo II
Art. 219 CP,Trata de personas,Libro II,Título VII,Capítulo II
Art. 221 CP,Explotación en condiciones de esclavitud o servidumbre,Libro II,Título VII,Capítulo II
Art. 222 CP,Explotación de la mendicidad,Libro II,Título VII,Capítulo II
Art. 223 CP,Inseminación artificial y otras técnicas de reproducción asistida no consentidas,Libro II,Título VII,Capítulo II
Art. 227 CP,Reincidencia internacional,Libro II,Título VII,Capítulo II
Art. 229 CP,Injuria,Libro II,Título VII,Capítulo III
Art. 230 CP,Calumnia,Libro II,Título VII,Capítulo III
Art. 234 CP,Procedibilidad y perdón,Libro II,Título VII,Capítulo III
Art. 235 CP,Privación ilegal de libertad,Libro II,Título VIII,Capítulo I
Art. 236 CP,Privación ilegal de libertad agravada,Libro II,Título VIII,Capítulo I
Art. 237 CP,Privación ilegal de libertad atenuada,Libro II,Título VIII,Capítulo I
Art. 238 CP,Privación ilegal de libertad realizada por funcionario o empleado público,Libro II,Título VIII,Capítulo I
Art. 239 CP,Secuestro,Libro II,Título VIII,Capítulo I
Art. 240 CP,Secuestro agravado,Libro II,Título VIII,Capítulo I
Art. 241 CP,Secuestro atenuado,Libro II,Título VIII,Capítulo I
Art. 242 CP,Secuestro realizado por funcionario o empleado público nacional o extranjero,Libro II,Título VIII,Capítulo I
Art. 243 CP,Punibilidad de actos preparatorios,Libro II,Título VIII,Capítulo I
Art. 244 CP,Concursos,Libro II,Título VIII,Capítulo I
Art. 245 CP,Coacciones,Libro II,Título VIII,Capítulo II
Art. 246 CP,Amenazas,Libro II,Título VIII,Capítulo II
Art. 247 CP,Chantaje,Libro II,Título VIII,Capítulo II
Art. 248 CP,Desplazamiento forzado,Libro II,Título VIII,Capítulo II
Art. 271 CP,Allanamiento por funcionario o empleado público,Libro II,Título X,Capítulo I
Art. 272 CP,Descubrimiento y revelación de secretos,Libro II,Título X,Capítulo II
Art. 273 CP,Responsabilidad del funcionario o empleado público,Libro II,Título X,Capítulo II
Art. 280 CP,Autorización de matrimonio inválido,Libro II,Título XI,Capítulo I
Art. 281 CP,Suposición de parto y ocultación o sustitución de menor,Libro II,Título XI,Capítulo II
Art. 283 CP,Disposiciones comunes,Libro II,Título XI,Capítulo II
Art. 284 CP,No presentación o entrega de menores o personas con discapacidad,Libro II,Título XI,Capítulo III
Art. 290 CP,Disposición común,Libro II,Título XI,Capítulo IV
Art. 291 CP,Delito contra la seguridad de los trabajadores,Libro II,Título XII,Capítulo IV
Art. 292 CP,Explotación laboral ilícita,Libro II,Título XII,Capítulo IV
Art. 298 CP,Elaboración y comercio ilegal de medicamentos,Libro II,Título XIV,Capítulo I
Art. 299 CP,"Imitación de alimentos, productos o sustancias",Libro II,Título XIV,Capítulo I
Art. 300 CP,Delito de dopaje,Libro II,Título XIV,Capítulo I
Art. 301 CP,Elaboración no autorizada de sustancias nocivas,Libro II,Título XIV,Capítulo I
Art. 302 CP,Despacho o suministro ilegales de sustancias nocivas,Libro II,Título XIV,Capítulo I
Art. 303 CP,Falsificación de documentación preceptiva en la comercialización de medicamentos,Libro II,Título XIV,Capítulo I
Art. 306 CP,Suministración peligrosa de sustancias,Libro II,Título XIV,Capítulo II
Art. 307 CP,Propagación de epidemias y de enfermedades infecto-contagiosas,Libro II,Título XIV,Capítulo II
Art. 308 CP,Inhabilitación,Libro II,Título XIV,Capítulo III
Art. 309 CP,Responsabilidad de la personas jurídicas,Libro II,Título XIV,Capítulo III
Art. 310 CP,Delito imprudente contra la salud pública y agravante especial,Libro II,Título XIV,Capítulo III
Art. 311 CP,Tráfico de drogas,Libro II,Título XIV,Capítulo IV
Art. 312 CP,Agravantes específicas del tráfico de drogas,Libro II,Título XIV,Capítulo IV
Art. 313 CP,Atenuantes específicas de tráfico de drogas,Libro II,Título XIV,Capítulo IV
Art. 317 CP,Responsabilidad de las personas jurídicas,Libro II,Título XIV,Capítulo IV
Art. 318 CP,Punibilidad de actos preparatorios,Libro II,Título XIV,Capítulo IV
Art. 319 CP,Penas privativas de derechos,Libro II,Título XIV,Capítulo IV
Art. 320 CP,Reincidencia internacional,Libro II,Título XIV,Capítulo IV
Art. 321 CP,Definiciones,Libro II,Título XIV,Capítulo IV
Art. 326 CP,Manejo ilegal de desechos peligrosos,Libro II,Título XVI,Capítulo I
Art. 328 CP,Introducción de especies exógenas,Libro II,Título XVI,Capítulo II
Art. 329 CP,Propagación de plagas o enfermedades,Libro II,Título XVI,Capítulo II
Art. 331 CP,Captura ilegal de especímenes,Libro II,Título XVI,Capítulo II
Art. 332 CP,Agravantes específicas de los delitos contra la diversidad biológica,Libro II,Título XVI,Capítulo II
Art. 334 CP,Privaciones de derechos,Libro II,Título XVI,Capítulo III
Art. 335 CP,Delito ambiental imprudente,Libro II,Título XVI,Capítulo III
Art. 336 CP,Responsabilidad de funcionario o empleado público,Libro II,Título XVI,Capítulo III
Art. 338 CP,Atenuantes específicas,Libro II,Título XVI,Capítulo III
Art. 340 CP,Reincidencia internacional,Libro II,Título XVI,Capítulo III
Art. 343 CP,Urbanización ilegal,Libro II,Título XVIII,Capítulo III
Art. 344 CP,Aprobación irregular por parte de funcionario público,Libro II,Título XVIII,Capítulo III
Art. 345 CP,Responsabilidad del funcionario público por omisión,Libro II,Título XVIII,Capítulo III
Art. 346 CP,Responsabilidad de las personas jurídicas,Libro II,Título XVIII,Capítulo III
Art. 347 CP,Demolición de lo ilícitamente construido,Libro II,Título XVIII,Capítulo III
Art. 348 CP,Tráfico ilícito de bienes del patrimonio cultural,Libro II,Título XIX,Capítulo III
Art. 349 CP,Alteración de inmuebles pertenecientes al patrimonio cultural,Libro II,Título XIX,Capítulo III
Art. 350 CP,Expolio de zonas arqueológicas,Libro II,Título XIX,Capítulo III
Art. 351 CP,Agravantes específicas,Libro II,Título XIX,Capítulo III
Art. 352 CP,Responsabilidad del funcionario o empleado público,Libro II,Título XIX,Capítulo III
Art. 353 CP,Responsabilidad de las personas jurídicas,Libro II,Título XIX,Capítulo III
Art. 354 CP,Atenuantes específicas,Libro II,Título XIX,Capítulo III
Art. 355 CP,Restauración del patrimonio cultural,Libro II,Título XIX,Capítulo III
Art. 356 CP,Reincidencia internacional,Libro II,Título XIX,Capítulo III
Art. 357 CP,Hurto simple,Libro II,Título XX,Capítulo I
Art. 358 CP,Hurto de ganado o cosechas,Libro II,Título XX,Capítulo I
Art. 359 CP,Hurto de posesión,Libro II,Título XX,Capítulo I
Art. 360 CP,Robo con fuerza,Libro II,Título XX,Capítulo II
Art. 361 CP,Robo con violencia o intimidación,Libro II,Título XX,Capítulo II
Art. 362 CP,Robo de ganado,Libro II,Título XX,Capítulo II
Art. 363 CP,Agravantes específicas,Libro II,Título XX,Capítulo III
Art. 364 CP,Hurto y robo de uso de vehículo automotor,Libro II,Título XX,Capítulo IV
Art. 369 CP,"Defraudaciones de energía, fluidos y telecomunicaciones",Libro II,Título XX,Capítulo V
Art. 370 CP,Administración fraudulenta,Libro II,Título XX,Capítulo VI
Art. 371 CP,Apropiación y retención indebidas,Libro II,Título XX,Capítulo VI
Art. 372 CP,Apropiación irregular,Libro II,Título XX,Capítulo VI
