source,raw,normalized,matched
app/auth-context.tsx,/api/auth/me,/api/auth/me,yes
app/auth-context.tsx,/api/auth/logout,/api/auth/logout,yes
app/article-modal.tsx,/api/cp?busqueda=Art. ${num}&limit=1,/api/cp,yes
app/intranet/admin/page.tsx,/api/admin/sgie/metricas,/api/admin/sgie/metricas,yes
app/intranet/login/page.tsx,/api/auth/login,/api/auth/login,yes
app/intranet/sgie/page.tsx,/api/sgie/cockpit,/api/sgie/cockpit,yes
app/intranet/sgie/page.tsx,/api/sgie/cockpit/avanzado,/api/sgie/cockpit/avanzado,yes
app/intranet/restablecer-clave/[token]/page.tsx,/api/auth/reset-password/confirm,/api/auth/reset-password/confirm,yes
app/intranet/sgie/mi-jornada/page.tsx,/api/sgie/mi-jornada,/api/sgie/mi-jornada,yes
app/intranet/sgie/revision-documental/page.tsx,/api/sgie/revision,/api/sgie/revision,yes
app/intranet/sgie/revision-documental/page.tsx,/api/sgie/expedientes/${expedienteId}/documentos/bulk-approval/preview,/api/sgie/expedientes/__DYN__/documentos/bulk-approval/preview,yes
app/intranet/sgie/revision-documental/page.tsx,/api/sgie/expedientes/${bulkModal.expedienteId}/documentos/bulk-approval/confirm,/api/sgie/expedientes/__DYN__/documentos/bulk-approval/confirm,yes
app/intranet/sgie/brief/page.tsx,/api/sgie/brief,/api/sgie/brief,yes
app/intranet/sgie/agenda/page.tsx,"/api/sgie/agenda?${buildAgendaQuery(referencia, vista)}",/api/sgie/agenda,yes
app/intranet/sgie/agenda/page.tsx,"/api/sgie/agenda?${buildAgendaQuery(referencia, vista, page)}",/api/sgie/agenda,yes
app/intranet/sgie/agenda/page.tsx,/api/sgie/agenda/${editingId},/api/sgie/agenda/__DYN__,yes
app/intranet/sgie/agenda/page.tsx,/api/sgie/agenda,/api/sgie/agenda,yes
app/intranet/sgie/agenda/page.tsx,/api/sgie/agenda/${evento.id},/api/sgie/agenda/__DYN__,yes
app/intranet/sgie/buscar/page.tsx,/api/sgie/buscar?${params},/api/sgie/buscar,yes
app/intranet/sgie/tareas/page.tsx,/api/sgie/tareas?${params},/api/sgie/tareas,yes
app/intranet/sgie/tareas/page.tsx,/api/sgie/usuarios/asignables?limit=50,/api/sgie/usuarios/asignables,yes
app/intranet/sgie/tareas/page.tsx,/api/sgie/tareas/${editandoId},/api/sgie/tareas/__DYN__,yes
app/intranet/sgie/tareas/page.tsx,/api/sgie/tareas,/api/sgie/tareas,yes
app/intranet/sgie/tareas/page.tsx,/api/sgie/tareas/${t.id},/api/sgie/tareas/__DYN__,yes
app/intranet/sgie/carga/page.tsx,/api/sgie/carga,/api/sgie/carga,yes
app/intranet/sgie/dashboard/page.tsx,/api/sgie/dashboard-operativo,/api/sgie/dashboard-operativo,yes
app/intranet/sgie/clientes/page.tsx,/api/sgie/clientes?${params},/api/sgie/clientes,yes
app/intranet/sgie/clientes/page.tsx,/api/sgie/clientes,/api/sgie/clientes,yes
app/intranet/sgie/productividad/page.tsx,/api/sgie/productividad?${params},/api/sgie/productividad,yes
app/intranet/sgie/productividad/page.tsx,/api/sgie/productividad/tiempo-por-estado?${params},/api/sgie/productividad/tiempo-por-estado,yes
app/intranet/sgie/documentos/page.tsx,/api/sgie/documentos?${params},/api/sgie/documentos,yes
app/intranet/sgie/documentos/page.tsx,/api/sgie/documentos/${id},/api/sgie/documentos/__DYN__,yes
app/intranet/sgie/documentos/page.tsx,/api/sgie/documentos/${id}/procesar,/api/sgie/documentos/__DYN__/procesar,yes
app/intranet/sgie/alertas/page.tsx,/api/sgie/alertas?limit=50,/api/sgie/alertas,yes
app/intranet/sgie/alertas/page.tsx,/api/sgie/alertas/${id}/resolver,/api/sgie/alertas/__DYN__/resolver,yes
app/intranet/sgie/portal-cliente/page.tsx,/api/sgie/clientes?limit=100,/api/sgie/clientes,yes
app/intranet/sgie/portal-cliente/page.tsx,/api/sgie/enlaces?expedienteId=${clienteId},/api/sgie/enlaces,yes
app/intranet/sgie/reportes/page.tsx,/api/sgie/reportes?${params},/api/sgie/reportes,yes
app/intranet/sgie/correos/page.tsx,/api/sgie/correos?limit=50,/api/sgie/correos,yes
app/intranet/sgie/expedientes/page.tsx,/api/sgie/expedientes?${params},/api/sgie/expedientes,yes
app/intranet/sgie/expedientes/page.tsx,/api/sgie/clientes?limit=100,/api/sgie/clientes,yes
app/intranet/sgie/expedientes/page.tsx,/api/sgie/tipos-procedimiento?limit=200,/api/sgie/tipos-procedimiento,yes
app/intranet/sgie/expedientes/page.tsx,/api/sgie/clientes?${params},/api/sgie/clientes,yes
app/intranet/sgie/expedientes/page.tsx,/api/sgie/expedientes,/api/sgie/expedientes,yes
app/intranet/sgie/riesgo/page.tsx,/api/sgie/riesgo,/api/sgie/riesgo,yes
app/intranet/sgie/contradicciones/page.tsx,/api/sgie/contradicciones?status=${filter},/api/sgie/contradicciones,yes
