path,methods,lines,auth,csrf,zod_or_parse,rate_limit,webhook_sig,reads_body,db
app/api/admin/agravantes/[id]/route.ts,"GET,PATCH,DELETE",109,True,True,True,True,False,True,True
app/api/admin/agravantes/route.ts,"GET,POST",129,True,True,True,True,False,True,True
app/api/admin/alertas/route.ts,"GET,POST",78,True,False,True,False,False,True,False
app/api/admin/auditoria/route.ts,GET,29,True,False,True,False,False,False,True
app/api/admin/comunicaciones/route.ts,GET,59,True,False,False,False,False,True,True
app/api/admin/dashboard/route.ts,GET,28,True,False,False,False,False,False,False
app/api/admin/evaluacion-ia/route.ts,GET,93,True,False,True,False,False,False,True
app/api/admin/invitaciones/[id]/reenviar/route.ts,POST,22,True,True,False,False,False,False,False
app/api/admin/invitaciones/[id]/revocar/route.ts,POST,21,True,True,False,False,False,False,False
app/api/admin/invitaciones/route.ts,"GET,POST",67,True,True,True,True,False,True,True
app/api/admin/knowledge/[action]/route.ts,POST,66,True,True,True,True,False,True,True
app/api/admin/knowledge/route.ts,"GET,POST",69,True,True,True,True,False,True,True
app/api/admin/operaciones/route.ts,GET,61,True,False,False,False,False,False,True
app/api/admin/reglas-comunicacion/route.ts,"GET,POST",101,True,False,True,False,False,True,False
app/api/admin/sgie/asignaciones/route.ts,"GET,POST",95,True,True,True,True,False,True,True
app/api/admin/sgie/metricas/route.ts,GET,78,True,False,False,False,False,False,True
app/api/admin/sgie/plantillas/route.ts,"GET,POST",69,True,True,True,True,False,True,False
app/api/admin/sgie/reglas/route.ts,"GET,POST",53,True,True,True,False,False,True,True
app/api/admin/simulador/route.ts,POST,81,True,False,True,False,False,True,True
app/api/admin/supuestos-penales/route.ts,GET,49,True,False,False,False,False,False,True
app/api/admin/usuarios/[id]/acceso-sgie/route.ts,PATCH,33,True,True,True,False,False,True,True
app/api/admin/usuarios/[id]/bloqueo/route.ts,PATCH,90,True,True,True,True,False,True,True
app/api/admin/usuarios/[id]/capacidades/route.ts,"GET,PUT",76,True,True,True,False,False,True,True
app/api/admin/usuarios/[id]/reset-password/route.ts,POST,55,True,True,False,False,False,False,True
app/api/admin/usuarios/[id]/rol/route.ts,PATCH,90,True,True,True,True,False,True,True
app/api/admin/usuarios/[id]/route.ts,"PATCH,DELETE",153,True,True,True,True,False,True,True
app/api/admin/usuarios/[id]/sesiones/route.ts,PATCH,27,True,True,False,False,False,False,True
app/api/admin/usuarios/[id]/vinculo-correo/route.ts,PATCH,83,True,True,True,True,False,True,True
app/api/admin/usuarios/route.ts,"GET,POST",51,True,False,True,False,False,False,False
app/api/auth/2fa/verify/route.ts,POST,116,False,False,True,True,False,True,True
app/api/auth/change-password/route.ts,POST,57,True,True,True,False,False,True,True
app/api/auth/invitaciones/[token]/route.ts,"GET,POST",51,True,True,True,True,False,True,False
app/api/auth/login/route.ts,POST,142,False,False,False,True,False,True,True
app/api/auth/logout/route.ts,POST,13,True,False,False,False,False,False,False
app/api/auth/me/route.ts,GET,50,True,False,False,False,False,False,True
app/api/auth/register/route.ts,POST,20,False,False,False,False,False,False,False
app/api/auth/reset-password/confirm/route.ts,,8,False,False,False,False,False,False,False
app/api/auth/reset-password/route.ts,POST,106,False,True,True,True,False,True,True
app/api/auth/terminos/route.ts,GET,25,True,False,False,False,False,False,True
app/api/calcular/pdf/route.ts,POST,59,True,True,False,False,False,True,False
app/api/calcular/route.ts,POST,127,True,True,False,True,False,True,True
app/api/calculos/[id]/route.ts,"GET,DELETE",127,True,True,False,False,False,False,True
app/api/calculos/route.ts,POST,52,True,True,True,False,False,True,True
app/api/casos/[id]/pdf/route.ts,GET,55,True,False,False,False,False,False,True
app/api/casos/[id]/route.ts,"GET,PUT,DELETE",107,True,True,False,False,False,True,True
app/api/casos/route.ts,"GET,POST",58,True,True,False,False,False,True,True
app/api/chat/route.ts,POST,97,False,False,False,True,False,True,False
app/api/clasificaciones/route.ts,GET,15,False,False,False,False,False,False,True
app/api/consulta/route.ts,POST,167,False,False,False,True,False,True,True
app/api/contacto/route.ts,POST,89,False,False,False,True,False,True,False
app/api/cp/[id]/route.ts,"GET,PUT",69,True,True,False,False,False,True,True
app/api/cp/route.ts,"GET,POST",76,True,True,False,False,False,True,True
