dependency,version,declared_in,import_references,sample_files,candidate
@neondatabase/serverless,^1.1.0,dependencies,76,drizzle/seed-sgie-demo-carlos.ts | drizzle/seed-sgie-procedimientos.ts | drizzle/seed.ts | lib/db.ts | lib/rag/embeddings.ts | scripts/ajustar-seo-residual-blog.ts | scripts/archive/_edit-post.cjs | scripts/archive/_f17_check_words.mjs | scripts/archive/agent-loop.ts | scripts/archive/fetch-article.ts | scripts/archive/fetch-lote1.ts | scripts/archive/fetch-next.ts | scripts/archive/fetch-pending.ts | scripts/archive/native-update.ts | scripts/archive/re-audit-loop.ts,used
@react-pdf/renderer,^4.5.1,dependencies,5,app/api/calcular/pdf/route.ts | app/api/casos/[id]/pdf/route.ts | app/api/descargar/route.ts | lib/lead-magnet-pdf.tsx | lib/pdf-document.tsx,used
@vercel/blob,^2.6.1,dependencies,2,lib/sgie/util.ts | lib/storage.ts,used
@vercel/speed-insights,^2.0.0,dependencies,1,app/layout.tsx,used
bcryptjs,^3.0.3,dependencies,6,lib/auth.ts | scripts/e2e/fase5a-risk-workload-e2e.mjs | scripts/e2e/fase5b-document-intelligence-e2e.mjs | scripts/e2e/fase5c-daily-brief-e2e.mjs | scripts/e2e/fase5d-autonomy-portal-e2e.mjs | scripts/e2e/seed.mjs,used
dotenv,^17.4.2,dependencies,115,playwright.e2e.config.ts | scripts/ajustar-seo-residual-blog.ts | scripts/analytics-validate.mjs | scripts/analytics/funnel-report.mjs | scripts/archive/_f17_check_words.mjs | scripts/archive/agent-loop.ts | scripts/archive/fetch-article.ts | scripts/archive/fetch-next.ts | scripts/archive/fetch-pending.ts | scripts/archive/native-update.ts | scripts/archive/submit-blog-urls.ts | scripts/archive/update-block.ts | scripts/archive/update-next.ts | scripts/audit-internal-links-db.ts | scripts/auditar-indexacion-prioritaria.mjs,used
drizzle-orm,^0.45.2,dependencies,233,app/api/admin/agravantes/[id]/route.ts | app/api/admin/agravantes/route.ts | app/api/admin/auditoria/route.ts | app/api/admin/comunicaciones/route.ts | app/api/admin/evaluacion-ia/route.ts | app/api/admin/invitaciones/route.ts | app/api/admin/knowledge/[action]/route.ts | app/api/admin/knowledge/route.ts | app/api/admin/operaciones/route.ts | app/api/admin/sgie/asignaciones/route.ts | app/api/admin/sgie/metricas/route.ts | app/api/admin/sgie/reglas/route.ts | app/api/admin/simulador/route.ts | app/api/admin/supuestos-penales/route.ts | app/api/admin/usuarios/[id]/acceso-sgie/route.ts,used
googleapis,^144.0.0,dependencies,13,app/api/oauth/callback/route.ts | lib/google.ts | scripts/analytics/funnel-report.mjs | scripts/google-analytics-config.mjs | scripts/google-analytics-live.mjs | scripts/google-search-console-live.mjs | scripts/gsc-analytics.mjs | scripts/inspect-urls.mjs | scripts/oauth-get-refresh-token.mjs | scripts/oauth-url.mjs | scripts/seo-audit-gsc-ga4.mjs | scripts/submit-sitemap-gsc.mjs | scripts/test-service-account.mjs,used
jsonwebtoken,^9.0.3,dependencies,2,lib/auth.ts | tests/auth.test.ts,used
lucide-react,^0.577.0,dependencies,160,app/(public)/abogado-civil-nacaome/page.tsx | app/(public)/abogado-de-familia-nacaome/page.tsx | app/(public)/abogado-laboralista-nacaome/page.tsx | app/(public)/abogado-penalista-choluteca/page.tsx | app/(public)/abogado-penalista-nacaome/page.tsx | app/(public)/abogados-en-nacaome/page.tsx | app/(public)/blog/[categoria]/[slug]/page.tsx | app/(public)/blog/[categoria]/page.tsx | app/(public)/como-llegar/page.tsx | app/(public)/derecho-penal/[slug]/page.tsx | app/(public)/derecho-penal/page.tsx | app/(public)/despacho/page.tsx | app/(public)/guia-legal-abogados-honduras/page.tsx | app/(public)/hondurenos-en-espana/[slug]/page.tsx | app/(public)/page.tsx,used
