source,target,status
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/roadmap/SGIE_IMPLEMENTATION_CHECKLIST.md,ok
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,ok
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/handoffs/fase-1-a-fase-2.md,ok
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/architecture/fase-1-nucleo-admin-identidad-calendario.md,ok
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/ops/fase-1-staging-validation.md,ok
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,docs/handoffs/fase-1-deletion-manifest.md,ok
AGENTS.md,docs/seo/live-data-access.md,ok
README.md,AGENTS.md,ok
README.md,CHANGELOG.md,ok
README.md,.env.example,ok
README.md,docs/seo/live-data-access.md,ok
README.md,docs/architecture/fase-1-nucleo-admin-identidad-calendario.md,ok
README.md,docs/architecture/fase-1-nucleo-admin-identidad-calendario.md,ok
README.md,docs/architecture/fase-2-nucleo-durable-documentos-comunicaciones.md,ok
README.md,AGENTS.md,ok
README.md,docs/security/runbook-rotacion-credenciales-fase1.md,ok
README.md,CHANGELOG.md,ok
README.md,data/README.md,ok
README.md,scripts/README.md,ok
README.md,AGENTS.md,ok
README.md,CHANGELOG.md,ok
README.md,docs/changelog/archive-2026-H1.md,ok
README.md,docs/seo/live-data-access.md,ok
README.md,docs/audits/seo-live-summary.md,ok
README.md,docs/audits/seo-live-action-plan.md,ok
README.md,docs/audits/transformacion-web-publica.md,ok
README.md,docs/security/runbook-backup-restore.md,ok
README.md,docs/ops/build-and-deploy.md,ok
README.md,docs/ops/environment-variables.md,ok
README.md,docs/analytics/configuracion-y-validacion.md,ok
CHANGELOG.md,docs/changelog/archive-2026-H1.md,ok
CHANGELOG.md,docs/audits/transformacion-web-publica.md,ok
CHANGELOG.md,docs/security/runbook-backup-restore.md,ok
CHANGELOG.md,docs/security/runbook-rotacion-credenciales-fase1.md,ok
docs/changelog/archive-2026-H1.md,../../CHANGELOG.md,ok
docs/handoffs/fase-2-a-fase-3.md,../architecture/fase-2-nucleo-durable-documentos-comunicaciones.md,ok
docs/handoffs/fase-2-a-fase-3.md,../adr/ADR-003-job-queue-strategy.md,ok
docs/handoffs/fase-2-a-fase-3.md,../adr/ADR-004-outbox-pattern.md,ok
docs/handoffs/fase-2-a-fase-3.md,../adr/ADR-005-ocr-strategy.md,ok
docs/handoffs/fase-2-a-fase-3.md,../adr/ADR-006-ai-router.md,ok
docs/handoffs/fase-2-a-fase-3.md,../roadmap/SGIE_IMPLEMENTATION_CHECKLIST.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../../AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../roadmap/SGIE_IMPLEMENTATION_CHECKLIST.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,fase-1-a-fase-2.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,fase-2-a-fase-3.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,fase-3-a-fase-4.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,fase-4a-hardening-and-validation.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../architecture/fase-1-nucleo-admin-identidad-calendario.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../architecture/fase-2-nucleo-durable-documentos-comunicaciones.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../architecture/fase-4a-automatizacion-documental-core.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../ops/fase-2-staging-validation.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../ops/fase-4a-staging-validation.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,fase-1-deletion-manifest.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../adr/ADR-010-feature-flags-and-kill-switches.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../adr/ADR-011-document-automation-orchestrator.md,ok
docs/handoffs/SGIE_NEW_CHAT_CONTEXT.md,../adr/ADR-012-ai-governance-and-prompt-injection.md,ok
docs/handoffs/fase-4b1-bulk-approval.md,../adr/ADR-013-bulk-document-approval.md,ok
docs/handoffs/fase-4b1-bulk-approval.md,../architecture/fase-4b1-bulk-approval.md,ok
docs/handoffs/fase-4b1-bulk-approval.md,../ops/fase-4b1-staging-validation.md,ok
docs/handoffs/fase-4a-hardening-and-validation.md,../adr/ADR-010-feature-flags-and-kill-switches.md,ok
docs/handoffs/fase-4a-hardening-and-validation.md,../adr/ADR-011-document-automation-orchestrator.md,ok
docs/handoffs/fase-4a-hardening-and-validation.md,../adr/ADR-012-ai-governance-and-prompt-injection.md,ok
docs/audits/blog-rollback-validacion.md,file:///Users/fonsi/Documents/Justicia%20Verdadera/scripts/restaurar-blog-backup.ts,broken
docs/audits/fase5b-cierre-integridad-lote3.md,./fase5b-lote3-deployment-final.json,ok
docs/audits/fase5b-cierre-integridad-lote3.md,./fase5a-lote3-revalidacion.json,ok
docs/audits/fase5b-cierre-integridad-lote3.md,./fase5c-cierre-inmutable-lote3.md,ok
docs/audits/auditoria-blog-juridica-seo-geo-verificacion.md,file:///Users/fonsi/Documents/Justicia%20Verdadera/scripts/restaurar-blog-backup.ts,broken
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-ambiental/derecho-ambiental-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-aduanero/guia-aduanera-importaciones-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/practica-legal/tramites-legales-nacaome,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-aduanero/importaciones-san-lorenzo,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/tributario/defensa-sar-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-civil/cobro-deudas-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-civil/accidente-transito-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-laboral/demanda-laboral-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-de-familia/pension-alimenticia-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-de-familia/divorcio-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-mercantil/abogado-empresas-san-lorenzo,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-aduanero/abogado-aduanero-san-lorenzo,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-civil/abogado-civil-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-de-familia/abogado-familia-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-laboral/abogado-laboral-choluteca,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/propiedad-intelectual/registrar-marca-honduras-paso-a-paso,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-administrativo/despido-empleados-publicos-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-mercantil/tipos-sociedad-mercantil-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-bancario/central-riesgos-honduras-consultar-impugnar,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/tributario/impuesto-renta-personas-fisicas-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-bancario/derechos-consumidor-financiero-honduras-cnbs,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/derecho-civil/errores-contratos-civiles-honduras,outside-repo
docs/audits/blog-revision-humana-pendiente.md,/blog/noticias-legales/reformas-legales-recientes-honduras,outside-repo
