path,pattern,count
package.json,placeholder,4
proxy.ts,todo,1
proxy.ts,deprecated,3
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,todo,11
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,deprecated,3
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,placeholder,76
redesociales.md,todo,2
redesociales.md,placeholder,1
vitest.config.ts,deprecated,2
AUDITORIA_SEO_GEO_LEGAL_PINEDA.md,todo,4
AUDITORIA_SEO_GEO_LEGAL_PINEDA.md,deprecated,2
AUDITORIA_SEO_GEO_LEGAL_PINEDA.md,placeholder,18
lighthouserc.json,hardcoded_localhost,4
AGENTS.md,todo,4
AGENTS.md,placeholder,3
package-lock.json,deprecated,7
auditoria-acciones.md,todo,5
auditoria-acciones.md,placeholder,48
AUDIT_REPOSITORY_REPORT.md,deprecated,4
AUDIT_REPOSITORY_REPORT.md,explicit_any,1
AUDIT_REPOSITORY_REPORT.md,placeholder,4
tsconfig.json,deprecated,3
PLAN_CORRECCION_VERACIDAD_SEO_GEO_PUBLICO.md,placeholder,1
README.md,hardcoded_localhost,1
README.md,placeholder,4
AUDITORIA_VERACIDAD_SEO_GEO_CONTENIDO_PUBLICO_PINEDA.md,placeholder,1
SEO_AUDIT_CHECKLIST.md,todo,1
SEO_AUDIT_CHECKLIST.md,placeholder,6
CHANGELOG.md,placeholder,9
SEO_GEO_ACTION_PLAN.md,todo,2
SEO_GEO_ACTION_PLAN.md,placeholder,9
playwright.e2e.config.ts,hardcoded_localhost,1
next.config.ts,todo,2
next.config.ts,deprecated,1
next.config.ts,eslint_disable,1
app/layout.tsx,explicit_any,1
app/auth-context.tsx,eslint_disable,1
app/article-modal.tsx,eslint_disable,1
app/robots.ts,todo,1
app/error.tsx,console_log,1
app/types.ts,placeholder,1
app/sitemap.ts,hardcoded_localhost,1
app/sitemap.ts,placeholder,5
app/global-error-boundary.tsx,console_log,1
app/error-boundary.tsx,console_log,1
app/theme-context.tsx,eslint_disable,1
.backups/fase6d-lote-12-backup.json,todo,1
.backups/fase6d-lote-12-backup.json,placeholder,8
.backups/fase6-lote-11-backup.json,todo,2
.backups/fase6-lote-11-backup.json,placeholder,1
.backups/fase6-lote-8-backup.json,todo,6
.backups/fase6-lote-8-backup.json,placeholder,8
.backups/fase6-lote-5-backup.json,todo,3
.backups/fase6-lote-5-backup.json,placeholder,14
