name,command,targets,missing_targets
dev,next dev,,
build,next build,,
build:ci,next build,,
analyze,ANALYZE=true next build,,
postbuild,node scripts/verify-chunks.mjs && node scripts/generate-llms-txt.mjs && node scripts/submit-indexnow.mjs,scripts/verify-chunks.mjs | scripts/generate-llms-txt.mjs | scripts/submit-indexnow.mjs,
llms:generate,node scripts/generate-llms-txt.mjs,scripts/generate-llms-txt.mjs,
llms:dry,node scripts/generate-llms-txt.mjs --dry-run,scripts/generate-llms-txt.mjs,
start,next start,,
lint,eslint,,
typecheck,tsc --noEmit,,
test,vitest run,,
test:watch,vitest,,
test:coverage,vitest run --coverage,,
test:e2e,playwright test,,
test:e2e:install,playwright install --with-deps chromium,,
e2e:guard,node scripts/e2e/guard.mjs,scripts/e2e/guard.mjs,
e2e:setup,node scripts/e2e/setup.mjs,scripts/e2e/setup.mjs,
e2e:seed,node scripts/e2e/seed.mjs,scripts/e2e/seed.mjs,
e2e:cleanup,node scripts/e2e/cleanup.mjs,scripts/e2e/cleanup.mjs,
e2e:run,node scripts/e2e/run.mjs,scripts/e2e/run.mjs,
e2e:fase1,node scripts/e2e/guard.mjs && node scripts/e2e/verify-neon-branch.mjs && tsx scripts/e2e/fase1-integration.ts,scripts/e2e/guard.mjs | scripts/e2e/verify-neon-branch.mjs | scripts/e2e/fase1-integration.ts,
e2e:critical,node scripts/e2e/run.mjs --spec critical,scripts/e2e/run.mjs,
e2e:navigation,node scripts/e2e/run.mjs --spec navigation,scripts/e2e/run.mjs,
indexnow,node scripts/submit-indexnow.mjs,scripts/submit-indexnow.mjs,
indexnow:dry,node scripts/submit-indexnow.mjs --dry-run,scripts/submit-indexnow.mjs,
indexnow:audit,node scripts/submit-indexnow.mjs --dry-run --full,scripts/submit-indexnow.mjs,
indexnow:sample,ENABLE_INDEXNOW_SUBMIT=true node scripts/submit-indexnow.mjs --sample,scripts/submit-indexnow.mjs,
indexnow:core,ENABLE_INDEXNOW_SUBMIT=true node scripts/submit-indexnow.mjs,scripts/submit-indexnow.mjs,
indexnow:full,ENABLE_INDEXNOW_SUBMIT=true node scripts/submit-indexnow.mjs --full,scripts/submit-indexnow.mjs,
indexnow:incremental,ENABLE_INDEXNOW_SUBMIT=true node scripts/submit-indexnow.mjs --incremental,scripts/submit-indexnow.mjs,
content:audit,npx tsx scripts/content-audit.ts,scripts/content-audit.ts,
blog:normalizar,npx tsx scripts/normalizar-blog.ts,scripts/normalizar-blog.ts,
blog:normalizar:aplicar,npx tsx scripts/normalizar-blog.ts --aplicar,scripts/normalizar-blog.ts,
blog:review,npx tsx scripts/blog-ai-review.ts,scripts/blog-ai-review.ts,
blog:review:aplicar,npx tsx scripts/blog-ai-review.ts --aplicar,scripts/blog-ai-review.ts,
blog:verify-fix,npx tsx scripts/blog-verify-fix.ts,scripts/blog-verify-fix.ts,
blog:verify-fix:aplicar,npx tsx scripts/blog-verify-fix.ts --aplicar,scripts/blog-verify-fix.ts,
blog:fix-critical-citations,npx tsx scripts/corregir-citas-criticas-blog.ts,scripts/corregir-citas-criticas-blog.ts,
blog:fix-critical-citations:aplicar,npx tsx scripts/corregir-citas-criticas-blog.ts --aplicar,scripts/corregir-citas-criticas-blog.ts,
blog:optimize-critical-seo,npx tsx scripts/optimizar-seo-articulos-criticos.ts,scripts/optimizar-seo-articulos-criticos.ts,
blog:optimize-critical-seo:aplicar,npx tsx scripts/optimizar-seo-articulos-criticos.ts --aplicar,scripts/optimizar-seo-articulos-criticos.ts,
blog:adjust-residual-seo,npx tsx scripts/ajustar-seo-residual-blog.ts,scripts/ajustar-seo-residual-blog.ts,
blog:adjust-residual-seo:aplicar,npx tsx scripts/ajustar-seo-residual-blog.ts --aplicar,scripts/ajustar-seo-residual-blog.ts,
validar:blog,npx tsx scripts/validar-blog.ts,scripts/validar-blog.ts,
validar:blog:json,npx tsx scripts/validar-blog.ts --json,scripts/validar-blog.ts,
validar:blog:blocking,npx tsx scripts/validar-blog.ts --solo-blocking,scripts/validar-blog.ts,
blog:backup,npx tsx scripts/backup-blog.ts,scripts/backup-blog.ts,
blog:seo-audit,npx tsx scripts/seo-content-audit.ts,scripts/seo-content-audit.ts,
blog:seo-audit:json,npx tsx scripts/seo-content-audit.ts --json,scripts/seo-content-audit.ts,
blog:fix-redirects,npx tsx scripts/fix-internal-redirects.ts,scripts/fix-internal-redirects.ts,
blog:fix-redirects:aplicar,npx tsx scripts/fix-internal-redirects.ts --aplicar,scripts/fix-internal-redirects.ts,
blog:fix-placeholders,npx tsx scripts/fix-editorial-placeholders.ts,scripts/fix-editorial-placeholders.ts,
blog:fix-placeholders:aplicar,npx tsx scripts/fix-editorial-placeholders.ts --aplicar,scripts/fix-editorial-placeholders.ts,
blog:fix-titles,npx tsx scripts/fix-long-titles.ts,scripts/fix-long-titles.ts,
blog:fix-titles:aplicar,npx tsx scripts/fix-long-titles.ts --aplicar,scripts/fix-long-titles.ts,
blog:fix-metas,npx tsx scripts/fix-long-metas.ts,scripts/fix-long-metas.ts,
blog:fix-metas:aplicar,npx tsx scripts/fix-long-metas.ts --aplicar,scripts/fix-long-metas.ts,
validate:dates,npx tsx scripts/validar-fechas-blog.ts,scripts/validar-fechas-blog.ts,
verify:chunks,node scripts/verify-chunks.mjs,scripts/verify-chunks.mjs,
seed:fase2,npx tsx drizzle/seed-fase2.ts,drizzle/seed-fase2.ts,
seed:sgie:procedimientos,npx tsx drizzle/seed-sgie-procedimientos.ts,drizzle/seed-sgie-procedimientos.ts,
seed:sgie:plantillas,npx tsx drizzle/seed-sgie-plantillas.ts,drizzle/seed-sgie-plantillas.ts,
seed:sgie:demo:carlos,npx tsx drizzle/seed-sgie-demo-carlos.ts,drizzle/seed-sgie-demo-carlos.ts,
db:check,npx tsx scripts/check-db-state.ts,scripts/check-db-state.ts,
security:validate-staging,powershell -NoProfile -ExecutionPolicy Bypass -File scripts/security/validate-staging-security.ps1,scripts/security/validate-staging-security.ps1,
seo:health,node scripts/seo-health-check.mjs,scripts/seo-health-check.mjs,
seo:health:json,node scripts/seo-health-check.mjs --json,scripts/seo-health-check.mjs,
seo:ahrefs,node scripts/seo-ahrefs-audit.mjs,scripts/seo-ahrefs-audit.mjs,
visual:baseline,node scripts/visual-regression.cjs baseline,scripts/visual-regression.cjs,
visual:check,node scripts/visual-regression.cjs check,scripts/visual-regression.cjs,
visual:update,node scripts/visual-regression.cjs update,scripts/visual-regression.cjs,
validar:meta-seo,npx tsx scripts/validar-meta-seo.ts,scripts/validar-meta-seo.ts,
audit:indexacion,node scripts/auditar-indexacion-prioritaria.mjs,scripts/auditar-indexacion-prioritaria.mjs,
seo:bing-errors,npx tsx scripts/import-bing-crawl-errors.ts,scripts/import-bing-crawl-errors.ts,
seo:snapshot,npx tsx scripts/seo-snapshot.ts,scripts/seo-snapshot.ts,
seo:indexability,npx tsx scripts/seo-indexability.ts,scripts/seo-indexability.ts,
audit:seo,npx tsx scripts/seo-indexability.ts,scripts/seo-indexability.ts,
audit:seo:stdout,npx tsx scripts/seo-indexability.ts,scripts/seo-indexability.ts,
audit:performance,npx tsx scripts/auditar-performance-publico.ts,scripts/auditar-performance-publico.ts,
audit:canibalizacion,npx tsx scripts/audit-canibalizacion.ts,scripts/audit-canibalizacion.ts,
audit:internal-links,npx tsx scripts/audit-internal-links.ts,scripts/audit-internal-links.ts,
audit:blog-seo,npx tsx scripts/audit-blog-seo.ts,scripts/audit-blog-seo.ts,
blog:detectar-plantilla,npx tsx scripts/detectar-posts-plantilla.ts,scripts/detectar-posts-plantilla.ts,
audit:delitos,node scripts/auditar-delitos.js,scripts/auditar-delitos.js,
audit:cp,node scripts/auditar-cp.js --report,scripts/auditar-cp.js,
audit:cp:fix,node scripts/auditar-cp.js --fix,scripts/auditar-cp.js,
seo:gsc,node scripts/gsc-analytics.mjs,scripts/gsc-analytics.mjs,
seo:audit:gsc-ga4,node scripts/seo-audit-gsc-ga4.mjs,scripts/seo-audit-gsc-ga4.mjs,
seo:bing,node scripts/bing-wmt-audit.mjs,scripts/bing-wmt-audit.mjs,
bing:auth,node scripts/bing-auth-link.mjs,scripts/bing-auth-link.mjs,
bing:auth:status,node scripts/bing-auth-status.mjs,scripts/bing-auth-status.mjs,
bing:site-explorer,node scripts/bing-site-explorer-auth.mjs,scripts/bing-site-explorer-auth.mjs,
bing:import-dashboard,node scripts/bing-import-dashboard-export.mjs,scripts/bing-import-dashboard-export.mjs,
auth:google,node scripts/auth-google-cli.mjs,scripts/auth-google-cli.mjs,
auth:google:status,node scripts/auth-google-cli.mjs status,scripts/auth-google-cli.mjs,
auth:google:oauth,node scripts/oauth-get-refresh-token.mjs,scripts/oauth-get-refresh-token.mjs,
auth:bing,node scripts/bing-auth-link.mjs,scripts/bing-auth-link.mjs,
auth:bing:status,node scripts/bing-auth-status.mjs,scripts/bing-auth-status.mjs,
auth:vercel,node scripts/auth-vercel-cli.mjs,scripts/auth-vercel-cli.mjs,
auth:vercel:status,node scripts/auth-vercel-cli.mjs status,scripts/auth-vercel-cli.mjs,
auth:all,node scripts/seo-live-doctor.mjs,scripts/seo-live-doctor.mjs,
seo:doctor,node scripts/seo-live-doctor.mjs,scripts/seo-live-doctor.mjs,
seo:collect,node scripts/seo-live-collect.mjs,scripts/seo-live-collect.mjs,
seo:gsc:live,node scripts/google-search-console-live.mjs,scripts/google-search-console-live.mjs,
seo:ga4:live,node scripts/google-analytics-live.mjs,scripts/google-analytics-live.mjs,
seo:bing:live,node scripts/bing-webmaster-live.mjs,scripts/bing-webmaster-live.mjs,
seo:submit-sitemap,node scripts/submit-sitemap-gsc.mjs,scripts/submit-sitemap-gsc.mjs,
analytics:audit,node scripts/analytics-validate.mjs,scripts/analytics-validate.mjs,
analytics:validate,node scripts/analytics-validate.mjs,scripts/analytics-validate.mjs,
analytics:ga4,node scripts/google-analytics-live.mjs,scripts/google-analytics-live.mjs,
