source,path,matched
app/layout.tsx,/apple-touch-icon.png,yes
app/layout.tsx,/favicon.ico,no
app/layout.tsx,/icon-192.png,yes
app/layout.tsx,/icon-512.png,yes
app/layout.tsx,/llms.txt,yes
app/not-found.tsx,/,yes
app/not-found.tsx,/servicios-juridicos,yes
app/not-found.tsx,/solicitar-consulta,yes
app/error.tsx,/,yes
app/global-error-boundary.tsx,/,yes
app/intranet/layout.tsx,/,yes
app/intranet/admin/layout.tsx,/intranet/admin,yes
app/intranet/admin/layout.tsx,/,yes
app/intranet/admin/layout.tsx,/intranet/login,yes
app/intranet/acceso-denegado/page.tsx,/intranet/login,yes
app/intranet/dashboard/page.tsx,/intranet/admin,yes
app/intranet/dashboard/page.tsx,/intranet/sgie,yes
app/intranet/dashboard/page.tsx,/intranet/login,yes
app/intranet/sgie/layout.tsx,/intranet/login,yes
app/intranet/sgie/layout.tsx,/intranet/sgie,yes
app/intranet/sgie/layout.tsx,/intranet/admin,yes
app/intranet/sgie/layout.tsx,/,yes
app/intranet/sgie/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/sgie/page.tsx,/intranet/sgie/alertas,yes
app/intranet/sgie/page.tsx,/intranet/sgie/tareas,yes
app/intranet/sgie/page.tsx,/intranet/sgie/documentos,yes
app/intranet/sgie/page.tsx,/intranet/sgie/correos,yes
app/intranet/sgie/page.tsx,/intranet/sgie/clientes,yes
app/intranet/sgie/page.tsx,/intranet/sgie/reportes,yes
app/intranet/restablecer-clave/[token]/page.tsx,/intranet/login,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/revision-documental,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/agenda,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/correos,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/documentos,yes
app/intranet/sgie/mi-jornada/page.tsx,/intranet/sgie/alertas,yes
app/intranet/sgie/revision-documental/page.tsx,/intranet/sgie,yes
app/intranet/sgie/agenda/page.tsx,/intranet/sgie,yes
app/intranet/sgie/buscar/page.tsx,/intranet/sgie/expedientes/${r.expedienteId},yes
app/intranet/sgie/tareas/page.tsx,/intranet/sgie,yes
app/intranet/sgie/clientes/page.tsx,/intranet/sgie,yes
app/intranet/sgie/clientes/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/sgie/productividad/page.tsx,/intranet/sgie,yes
app/intranet/sgie/alertas/page.tsx,/intranet/sgie,yes
app/intranet/sgie/reportes/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/sgie/reportes/page.tsx,/intranet/sgie/tareas,yes
app/intranet/sgie/reportes/page.tsx,/intranet/sgie/documentos,yes
app/intranet/sgie/reportes/page.tsx,/intranet/sgie/alertas,yes
app/intranet/sgie/reportes/page.tsx,/intranet/sgie,yes
app/intranet/sgie/correos/page.tsx,/intranet/sgie,yes
app/intranet/sgie/expedientes/page.tsx,/intranet/sgie,yes
app/intranet/sgie/expedientes/page.tsx,/intranet/sgie/expedientes/${data.expediente.id},yes
app/intranet/sgie/expedientes/[id]/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/sgie/clientes/[id]/page.tsx,/intranet/sgie/clientes,yes
app/intranet/sgie/clientes/[id]/page.tsx,/intranet/sgie/expedientes,yes
app/intranet/admin/delito-form/page.tsx,/intranet/admin/delitos,yes
app/intranet/admin/usuarios/page.tsx,/intranet/admin/invitaciones,yes
app/intranet/admin/delitos/page.tsx,/delito-form,no
app/intranet/admin/casos/[id]/page.tsx,/intranet/admin/casos,yes
app/intranet/admin/delitos/[id]/page.tsx,/intranet/admin/delitos,yes
app/intranet/admin/usuarios/[id]/page.tsx,/intranet/admin/usuarios,yes
app/intranet/admin/usuarios/[id]/page.tsx,/intranet/admin/auditoria,yes
app/intranet/admin/cp/[id]/page.tsx,/intranet/admin/cp,yes
app/intranet/activar-invitacion/[token]/page.tsx,/terminos,yes
app/(public)/abogado-penalista-choluteca/page.tsx,/solicitar-consulta,yes
app/(public)/abogado-penalista-nacaome/page.tsx,/solicitar-consulta,yes
app/(public)/politica-editorial/page.tsx,/terminos,yes
app/(public)/politica-editorial/page.tsx,/aviso-legal,yes
app/(public)/politica-editorial/page.tsx,/politica-privacidad,yes
app/(public)/blog/page.tsx,/preguntas-frecuentes,yes
app/(public)/guia-legal-abogados-honduras/page.tsx,/servicios-juridicos,yes
app/(public)/guia-legal-abogados-honduras/page.tsx,/solicitar-consulta,yes
app/(public)/abogado-civil-nacaome/page.tsx,/solicitar-consulta,yes
app/(public)/despacho/page.tsx,/derecho-penal,yes
app/(public)/despacho/page.tsx,/servicios-juridicos/derecho-de-familia,yes
app/(public)/despacho/page.tsx,/servicios-juridicos/derecho-laboral,yes
app/(public)/abogado-laboralista-nacaome/page.tsx,/solicitar-consulta,yes
app/(public)/abogado-de-familia-nacaome/page.tsx,/solicitar-consulta,yes
app/(public)/como-llegar/page.tsx,/solicitar-consulta,yes
app/(public)/solicitar-consulta/page.tsx,/despacho,yes
app/(public)/solicitar-consulta/page.tsx,/como-llegar,yes
app/(public)/hondurenos-en-espana/page.tsx,/servicios-juridicos/derecho-civil-y-notarial,yes
app/(public)/hondurenos-en-espana/page.tsx,/servicios-juridicos/derecho-de-familia,yes
app/(public)/hondurenos-en-espana/page.tsx,/solicitar-consulta,yes
app/(public)/derecho-penal/page.tsx,/blog/proceso-penal,yes
app/(public)/derecho-penal/page.tsx,/despacho,yes
