path,size_bytes,refs,sample,candidate
public/apple-touch-icon.png,16430,3,proxy.ts | app/layout.tsx | scripts/gen-favicon.mjs,used
public/icon-512.png,91612,4,proxy.ts | app/layout.tsx | scripts/gen-favicon.mjs | public/manifest.json,used
public/BingSiteAuth.xml,87,1,scripts/seo-health-check.mjs,used
public/icon-192.png,18413,5,proxy.ts | app/layout.tsx | scripts/gen-favicon.mjs | public/manifest.json | app/(public)/blog/feed.xml/route.ts,used
public/og-image.webp,93796,24,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | app/layout.tsx | scripts/audit-blog-seo.ts | lib/seo.ts | lib/site.ts | auditoria-seo/mcp-seo-report-faq.md | auditoria-seo/mcp-seo-report-blog.md | auditoria-seo/mcp-seo-report-home.md | auditoria-seo/mcp-seo-report-despacho.md | data/landings-locales.ts,used
public/manifest.json,728,3,proxy.ts | app/layout.tsx | public/sw.template.js,used
public/pinedayasociados-indexnow-key-2026.txt,34,0,,unreferenced
public/llms.txt,15988,10,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | PLAN_CORRECCION_VERACIDAD_SEO_GEO_PUBLICO.md | SEO_AUDIT_CHECKLIST.md | app/layout.tsx | scripts/auditar-performance-publico.ts | scripts/seo-health-check.mjs | scripts/generate-llms-txt.mjs | tests/llms-txt.test.ts | docs/changelog/archive-2026-H1.md | docs/seo/fase-1/decisiones-implementacion.md,used
public/sw.template.js,6062,8,next.config.ts | tests/fase3e-sw-build-determinism.test.ts | tests/fase3d-integridad.test.ts | e2e/fase3e-visual.spec.ts | docs/audits/fase3e-service-worker-final.md | docs/audits/fase3e-rollback.md | docs/audits/fase3e-validacion-final.md | app/sw.js/route.ts,used
public/9f9940d5665c41d98705255d3704be71.txt,32,1,docs/audits/fase3c-validacion.md,used
public/images/logo.png,301080,10,scripts/gen-favicon.mjs | lib/site.ts | auditoria-seo/mcp-seo-report-faq.md | auditoria-seo/mcp-seo-report-blog.md | auditoria-seo/mcp-seo-report-home.md | auditoria-seo/mcp-seo-report-despacho.md | lib/schemas/blog.ts | components/marketing/public-footer.tsx | components/marketing/public-header.tsx | app/(public)/guia-legal-abogados-honduras/page.tsx,used
public/.well-known/bbbbda6cdb1e4e2cbe8f6f81c1886f58.txt,32,0,,unreferenced
public/og/choluteca.webp,104158,1,data/landings-locales.ts,used
public/og/penal.webp,53242,5,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | app/(public)/abogado-penalista-choluteca/page.tsx | app/(public)/derecho-penal/page.tsx | app/(public)/servicios-juridicos/[slug]/page.tsx | app/(public)/derecho-penal/[slug]/page.tsx,used
public/og/san-lorenzo.webp,206616,1,data/landings-locales.ts,used
public/og/migracion.webp,124856,2,app/(public)/hondurenos-en-espana/page.tsx | app/(public)/hondurenos-en-espana/[slug]/page.tsx,used
public/og/laboral.webp,32118,1,app/(public)/servicios-juridicos/[slug]/page.tsx,used
public/og/blog.webp,74124,3,auditoria-seo/mcp-seo-report-blog.md | app/(public)/blog/page.tsx | app/(public)/blog/[categoria]/page.tsx,used
public/og/civil.webp,61520,4,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | app/(public)/guia-legal-abogados-honduras/page.tsx | app/(public)/servicios-juridicos/page.tsx | app/(public)/servicios-juridicos/[slug]/page.tsx,used
public/og/familia.webp,67396,2,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | app/(public)/servicios-juridicos/[slug]/page.tsx,used
public/og/faq.webp,71472,2,auditoria-seo/mcp-seo-report-faq.md | app/(public)/preguntas-frecuentes/page.tsx,used
public/og/nacaome.webp,151328,5,data/landings-locales.ts | app/(public)/abogado-penalista-nacaome/page.tsx | app/(public)/abogado-civil-nacaome/page.tsx | app/(public)/abogado-laboralista-nacaome/page.tsx | app/(public)/abogado-de-familia-nacaome/page.tsx,used
public/images/services/tributario.webp,53746,1,data/images.ts,used
public/images/services/sanitario.webp,40426,1,data/images.ts,used
public/images/services/administrativo.webp,140400,1,data/images.ts,used
public/images/services/asuntos-civiles-y-familiares-desde-el-extranjero.webp,84330,1,data/images.ts,used
public/images/services/gestion-documental-y-legalizacion.avif,49762,0,,unreferenced
public/images/services/derecho-civil-notarial-valle.webp,28656,1,data/images.ts,used
public/images/services/derecho-laboral-honduras.webp,32652,1,data/images.ts,used
public/images/services/gestion-documental-y-legalizacion.webp,39524,1,data/images.ts,used
public/images/services/extranjeria.webp,210640,1,data/images.ts,used
public/images/services/asuntos-civiles-y-familiares-desde-el-extranjero.avif,99874,0,,unreferenced
public/images/services/bancario.webp,46268,1,data/images.ts,used
public/images/services/ambiental.webp,282596,1,data/images.ts,used
public/images/services/aduanero.webp,221086,1,data/images.ts,used
public/images/services/arbitraje.webp,76616,1,data/images.ts,used
public/images/services/actos-notariales-internacionales.avif,45530,0,,unreferenced
