path,references_count,references,candidate_status
scripts/bing-auth-status.mjs,3,package.json | package:auth:bing:status | package:bing:auth:status,active
scripts/fix-editorial-placeholders.ts,6,CHANGELOG.md | docs/changelog/archive-2026-H1.md | package.json | package:blog:fix-placeholders | package:blog:fix-placeholders:aplicar | scripts/seo-ahrefs-audit.mjs,active
scripts/google-analytics-live.mjs,4,package.json | package:analytics:ga4 | package:seo:ga4:live | scripts/seo-live-collect.mjs,active
scripts/auditar-cp.js,5,.gitignore | package.json | package:audit:cp | package:audit:cp:fix | scripts/README.md,active
scripts/gsc-analytics.mjs,4,auditoria-seo/followup-2026-06-23.md | package.json | package:seo:gsc | scripts/seo-collect-authenticated.mjs,active
scripts/auditar-indexacion-prioritaria.mjs,8,auditoria-seo/seguimiento-2026-06-25-implementacion.md | docs/audits/auditoria-bing-webmaster-2026-07-08.md | docs/audits/seo-live-summary.md | package.json | package:audit:indexacion | scripts/README.md | scripts/seo-collect-authenticated.mjs | scripts/seo-live-collect.mjs,active
scripts/seo-auth-doctor.mjs,1,scripts/README.md,active
scripts/update-pension-db.ts,0,,unreferenced-candidate
scripts/update-prestaciones-db.ts,0,,unreferenced-candidate
scripts/extract-prestaciones.js,0,,unreferenced-candidate
scripts/corregir-articulos.ts,8,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md | AUDIT_REPOSITORY_REPORT.md | docs/changelog/archive-2026-H1.md | package.json | package:corregir:articulos | package:corregir:articulos:aplicar | package:corregir:articulos:dry | scripts/README.md,active
scripts/check-info-items.ts,0,,unreferenced-candidate
scripts/bing-site-explorer-auth.mjs,3,docs/audits/analisis-bing-warnings-excluded-2026-07-08.md | package.json | package:bing:site-explorer,active
scripts/seo-submit-indexnow.mjs,2,auditoria_seo/README_AUDITORIA_BING.md | docs/changelog/archive-2026-H1.md,active
scripts/prescripcion_original.html,2,scripts/edit-prescripcion.js | scripts/extract-prescripcion.js,active
scripts/migrate-internal-links.ts,1,docs/analytics/fase-3-enlazado-conversion.md,active
scripts/optimize-images.mjs,6,docs/changelog/archive-2026-H1.md | package.json | package:images:optimize | package:images:optimize:apply | package:images:recompress | package:images:recompress:apply,active
scripts/auditar-performance-publico.ts,3,SEO_GEO_ACTION_PLAN.md | package.json | package:audit:performance,active
scripts/update-changelog.js,0,,unreferenced-candidate
scripts/fase3-validar-lote.ts,1,docs/audits/fase3b-lote1-rollback.md,active
scripts/detectar-posts-plantilla.ts,3,package.json | package:blog:detectar-plantilla | scripts/blog-verify-fix.ts,active
scripts/fase7b-aplicar-correcciones-juridicas.ts,0,,unreferenced-candidate
scripts/fase7-consolidar-lote-a-corregido.ts,0,,unreferenced-candidate
scripts/auditar-delitos.js,5,.gitignore | docs/auditoria/RESULTADOS-PRUEBAS-gemini3.5.md | package.json | package:audit:delitos | scripts/README.md,active
scripts/fase5a-paquetes-revision-humana.ts,0,,unreferenced-candidate
scripts/pension_original.html,2,scripts/edit-pension-surgical.js | scripts/extract-pension.js,active
scripts/fase3b-reclasificar-lote.ts,2,docs/audits/fase3b-lote1-correcciones-aplicadas.md | docs/audits/fase3b-lote1-validacion.md,active
scripts/analyze-topics.js,0,,unreferenced-candidate
scripts/seo-live-doctor.mjs,6,AUDIT_REPOSITORY_REPORT.md | docs/ops/environment-variables.md | package.json | package:auth:all | package:seo:doctor | scripts/README.md,active
scripts/fase4b-integridad-correcciones.ts,1,docs/audits/fase4b-rollback.md,active
scripts/bing-import-dashboard-export.mjs,3,docs/audits/analisis-bing-warnings-excluded-2026-07-08.md | package.json | package:bing:import-dashboard,active
scripts/fase7b-resolver-huerfanos.ts,0,,unreferenced-candidate
scripts/fase3d-reconstruir-claims-ausentes.ts,1,tests/fase3d-claims-reconstruidos.test.ts,active
scripts/fase7-aplicar-correcciones.ts,0,,unreferenced-candidate
scripts/fase6-prepare-lote.ts,0,,unreferenced-candidate
