path,category,extension,size_bytes,lines,sha256,status_hint,recommended_action,priority,confidence,evidence_flags,rationale
package.json,root,.json,10766,218,2120b6ae737d07e2df1191520a88985dfc1c4fadd515f0be4b3f499a215932d8,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
proxy.ts,root,.ts,11966,290,4c428ba0d36b6da95db802fb726d60cc972636ccfa938db73176445f70feebff,review,CORREGIR_INMEDIATAMENTE,P0,Alta,,Bloquea rutas preautenticación/sistema protegidas por token o firma propia.
postcss.config.mjs,root,.mjs,94,8,dfac7ac2d86d326a0e5adb024e7943c181393ed17a5fcb8f0315b24c7da6ddde,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,root,.md,137873,5137,d4d0660b4d9b7795a3397e723e6f50bf560f38f4bd5eb1f52af7793473534da1,review,ARCHIVAR_Y_EXTRAER_ESTADO_VIGENTE,P1,Alta,,Macroauditoría histórica de 5.000+ líneas con afirmaciones no conectadas al runtime. Documento/auditoría histórica ocupando la raíz.
redesociales.md,root,.md,14702,422,ed98c6753aa43a7353609176f9b2bf4e45601bd3a57bde68047fda3450bfb712,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
vitest.config.ts,root,.ts,1601,59,2a8f73ec00b8883959602cfef163fe74101588584342a740645fc9dd1e5ca537,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
drizzle.config.ts,root,.ts,226,11,3cafe5ca3329624f335525c34c153e89e99fc658ade4d2078b0ee638eb99f50a,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
AUDITORIA_SEO_GEO_LEGAL_PINEDA.md,root,.md,65302,892,2705424d0331939436fa8dffaf17099ef70688320b7247ab45b3f9d8cab19c5a,review,MOVER_A_DOCS_AUDITS_ARCHIVE,P1,Alta,,Documento/auditoría histórica ocupando la raíz.
vercel.json,root,.json,126,7,fd94ed3e159d53dcf05096dbbfc70e89d8d864dfb5ea79633f012bce363aa8ba,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
lighthouserc.json,root,.json,1002,32,3428e620baeab4ea1309442b3dd09daad05e82634da53c2bc8d5428b4ab090f7,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
playwright.config.ts,root,.ts,988,39,83770785cec2dd245dd8e57fff0b8282f9af48691ff66e7b2e75a886adc7cc2e,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
BingSiteAuth.xml,root,.xml,85,4,82693b38b002b44667ab8b3fe87105571343a661ea1843d9b298f56571b64246,review,MANTENER_Y_REVISAR,P3,Media,,No se confirmó obsolescencia en el análisis estático; conservar hasta validación dinámica.
