type,item,state,confidence,risk_if_deleted,recommended_action,evidence
source,app/cargar/[token]/portal-carga-client.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=175
source,app/types.ts,test-only-candidate,Alta,Alto,Conectar al runtime con prueba de integración o retirar módulo y pruebas,inbound_imports=1; lines=52
source,components/blog/lazy-blog-search.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=26
source,components/blog/legal-article-cta.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=86
source,components/blog/local-consult-form.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=66
source,components/domain/articulo-autocomplete.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=268
source,components/domain/calculadora/calculadora-header.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=96
source,components/layout/app-shell.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=133
source,components/layout/user-actions.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=2; lines=123
source,components/marketing/google-reviews.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=134
source,components/marketing/intro-editorial.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=56
source,components/marketing/map-embed-lazy.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=31
source,components/marketing/service-blocks.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=134
source,components/marketing/social-share.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=53
source,components/marketing/testimonial-card.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=1; lines=186
source,components/sgie/copilot-expediente.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=113
source,components/sgie/sgie-placeholder.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=46
source,components/ui/stepper.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=1; lines=102
source,components/ui/table-pagination.tsx,unreachable-candidate,Media,Medio,Validar ausencia de carga dinámica y eliminar en PR pequeño,inbound_imports=0; lines=53
source,lib/ai/deepseek-blog-review.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=5; lines=347
source,lib/ai/review-invariants.ts,script-only-candidate,Alta,Bajo,Mover a tools/ y documentar consumidor/contrato,inbound_imports=4; lines=99
