slug,category,publication_state,table_index,caption,rows,columns,has_thead,has_headers,has_rowspan,has_colspan,nested_table,classification,recommended_pattern,render_transformable,issue,final_status
banco-demanda-deuda-defensa-opciones-honduras,derecho-bancario,published_lawyer_signed,0,,5,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
cuando-necesito-abogado-penalista-honduras,derecho-penal,published_lawyer_signed,0,,6,3,true,true,false,false,false,THREE_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 2 campos)",true,none,READY
despido-laboral-honduras-guia-completa,derecho-laboral,published_lawyer_signed,0,,5,3,true,true,false,false,false,THREE_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 2 campos)",true,none,READY
divorcio-honduras-guia-completa,derecho-de-familia,published_lawyer_signed,0,,8,4,true,true,false,false,false,MULTI_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 3 campos)",true,none,READY
habeas-corpus-cuando-interponer-honduras,proceso-penal,published_lawyer_signed,0,,6,3,false,true,false,false,false,THREE_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 2 campos)",true,none,READY
mediacion-vs-juicio-cual-elegir,conciliacion-arbitraje,published_firm,0,,6,3,true,true,false,false,false,THREE_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 2 campos)",true,none,READY
constitucion-empresas-honduras-pasos-legales,derecho-mercantil,draft,0,,5,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
divorcio-express-mutuo-acuerdo-honduras,derecho-de-familia,draft,0,,8,4,true,true,false,false,false,MULTI_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 3 campos)",true,none,READY
divorcio-tipos-requisitos-tiempos-honduras,derecho-de-familia,draft,0,,6,4,true,true,false,false,false,MULTI_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 3 campos)",true,none,READY
divorcio-tipos-requisitos-tiempos-honduras,derecho-de-familia,draft,1,,6,4,true,true,false,false,false,MULTI_COLUMN_COMPARISON,"article-comparison-cards (ficha por fila, 3 campos)",true,none,READY
herencias-honduras-fallece-familiar,derecho-civil,draft,0,,9,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
impuesto-renta-guia-personas-fisicas-honduras,tributario,draft,0,,6,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
problemas-legales-familiares-honduras,derecho-de-familia,draft,0,,3,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
registrar-marca-paso-a-paso-honduras,propiedad-intelectual,draft,0,,9,2,true,true,false,false,false,TWO_COLUMN_DEFINITION,"article-data-cards (ficha simple, dl/dt/dd)",true,none,READY
