# pr25-final-diff-inventory.csv — generado por scripts/generate-pr25-diff-inventory.mjs
# head=5218755aa9d41343beb48e504b5574b187724e15 main=57aa3edd39ea1aed769d8cd7eb807ac71eb47602 date=2026-07-30T09:56:51.430Z
# 288 archivos. Clasificación determinista por ruta.
path,status,area,risk,public_runtime,private_runtime,database,migration,security,editorial,generated,tests,docs,expected,owner_step,issue,final_status
.env.example,M,OTHER,LOW,false,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,manual_review,REVIEW
.gitignore,M,OTHER,LOW,false,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,manual_review,REVIEW
PLAN_MAESTRO_SEO_GEO_CONTENIDO_PINEDA_Y_ASOCIADOS_2026-07-28.md,A,OTHER,LOW,false,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,manual_review,REVIEW
app/(public)/abogado-penalista-nacaome/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/blog/[categoria]/[slug]/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/blog/[categoria]/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/blog/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/derecho-penal/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/despacho/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/equipo/[slug]/page.tsx,A,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/politica-privacidad/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/preguntas-frecuentes/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/preview/[token]/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/servicios-juridicos/[slug]/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/servicios-juridicos/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/(public)/solicitar-consulta/page.tsx,M,PUBLIC_UI,LOW,true,false,false,false,false,false,false,false,false,steps_1_to_12_public,step_1_to_13_or_block_b,none,EXPECTED
app/api/consulta/route.ts,M,PUBLIC_API,LOW,true,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,none,EXPECTED
app/api/contacto/route.ts,M,PUBLIC_API,LOW,true,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,none,EXPECTED
app/api/email/inbound/route.ts,M,PUBLIC_API,LOW,true,false,false,false,false,false,false,false,false,review,step_1_to_13_or_block_b,none,EXPECTED
