id,source_file,source_row_or_section,path_or_object,domain,original_priority,original_recommendation,current_status,current_evidence,decision,implementation_commit,tests,remaining_action,risk,production_required
INV-0001,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,2,package.json,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=8373732101498c736798c38e1c4d7fc599e82a52debc15ecb4036738bfc963ad. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0002,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,3,proxy.ts,security,P0,CORREGIR_INMEDIATAMENTE,DONE_VERIFIED,El objeto continúa versionado con cambios posteriores al snapshot y queda cubierto por los gates actuales; sha256=1f86d23e6bced7e1894e0226c1ce38c8232e81e23b74686017ea9efbd57d0cbf.,INTEGRATE,65aaba2261b2e7c9cab8ff83e7de265ea2912e35,npm run verify; CI main 30368420582,,Crítico,false
INV-0003,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,4,postcss.config.mjs,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=dfac7ac2d86d326a0e5adb024e7943c181393ed17a5fcb8f0315b24c7da6ddde. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0004,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,5,AUDITORIA_COMPLETA_RECONSTRUCCION_INTRANET_SGIE_V2.md,sgie,P1,ARCHIVAR_Y_EXTRAER_ESTADO_VIGENTE,DELETE,Ausente de HEAD; retirada trazable en 65aaba2261b2e7c9cab8ff83e7de265ea2912e35. Los gates actuales no detectan consumidores rotos.,DELETE,65aaba2261b2e7c9cab8ff83e7de265ea2912e35,npm run verify; git diff --check,,Alto,false
INV-0005,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,6,redesociales.md,repository,P1,MOVER_A_DOCS_AUDITS_ARCHIVE,DELETE,Ausente de HEAD; retirada trazable en 65aaba2261b2e7c9cab8ff83e7de265ea2912e35. Los gates actuales no detectan consumidores rotos.,DELETE,65aaba2261b2e7c9cab8ff83e7de265ea2912e35,npm run verify; git diff --check,,Alto,false
INV-0006,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,7,vitest.config.ts,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=2a8f73ec00b8883959602cfef163fe74101588584342a740645fc9dd1e5ca537. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0007,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,8,drizzle.config.ts,database,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=3cafe5ca3329624f335525c34c153e89e99fc658ade4d2078b0ee638eb99f50a. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0008,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,9,AUDITORIA_SEO_GEO_LEGAL_PINEDA.md,public-web,P1,MOVER_A_DOCS_AUDITS_ARCHIVE,DELETE,Ausente de HEAD; retirada trazable en 65aaba2261b2e7c9cab8ff83e7de265ea2912e35. Los gates actuales no detectan consumidores rotos.,DELETE,65aaba2261b2e7c9cab8ff83e7de265ea2912e35,npm run verify; git diff --check,,Alto,false
INV-0009,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,10,vercel.json,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=2206468c34d380562f356a4f3936bc56f6e993e62d97cd1d3506d2401875c75c. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0010,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,11,lighthouserc.json,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=3428e620baeab4ea1309442b3dd09daad05e82634da53c2bc8d5428b4ab090f7. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0011,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,12,playwright.config.ts,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=6e07b88f95fac054b4d351ce51b91695619cfc5f2c402b93f6526d485f26979b. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0012,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,13,BingSiteAuth.xml,security,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=82693b38b002b44667ab8b3fe87105571343a661ea1843d9b298f56571b64246. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
INV-0013,docs/audits/archive/2026-07-27/repository/data/inventario-archivos.csv,14,.env.example,repository,P3,MANTENER_Y_REVISAR,KEEP,"Archivo versionado en HEAD; sha256=eb660e3c21ff61af35a3a422846e6d69f671fa28d7a990de60cb3edf01b6eac3. Higiene, boundaries, build y Knip no muestran un defecto activo atribuible a esta fila.",KEEP,,npm run verify; npm run repo:knip,,Bajo,false
