file,line,source,transformation,sink,sanitized_before,sanitized_after,trusted_generated_markup,risk,action,final_status
app/(public)/blog/[categoria]/[slug]/page.tsx,372,blog_posts.body,CTA_heading_ID_link_normalization_context_links,dangerouslySetInnerHTML,false,false,CTA_and_context_links,stored_XSS,ADD_TWO_STAGE_SANITIZATION,FIXED
app/(public)/preview/[token]/page.tsx,65,preview_token.body,generic_sanitizer,dangerouslySetInnerHTML,true,false,none,final_transform_bypass,USE_BLOG_TWO_STAGE_SANITIZATION,FIXED
lib/blog-toc.ts,50,sanitized_blog_source,inject_heading_ids,article_render_pipeline,true,true,heading_ids,attribute_injection,FINAL_SANITIZATION,SAFE
lib/blog-link-normalizer.ts,22,sanitized_blog_source,normalize_internal_links,article_render_pipeline,true,true,root_relative_href,scheme_evasion,FINAL_SANITIZATION,SAFE
lib/blog-context-linker.ts,96,sanitized_blog_source,inject_context_links,article_render_pipeline,true,true,context_anchor,markup_injection,FINAL_SANITIZATION,SAFE
app/(public)/blog/[categoria]/[slug]/page.tsx,691,sanitized_FAQ_text,serialize_blog_json_ld,application_ld_json,true,true,JSON_LD,script_closure,ESCAPE_JSON_LD,FIXED
app/(public)/blog/feed.xml/route.ts,1,blog_post_metadata,XML_serialization,Response_XML,not_applicable,not_applicable,XML_markup,text_only_metadata,KEEP,NOT_A_RENDER_SINK
scripts/generate-llms-txt.mjs,1,blog_post_metadata,plain_text_generation,file_output,not_applicable,not_applicable,plain_text,no_HTML_sink,KEEP,NOT_A_RENDER_SINK
components/blog/blog-card.tsx,1,blog_post_description,React_text_render,React_text_node,not_applicable,not_applicable,React_escaping,no_HTML_sink,KEEP,NOT_A_RENDER_SINK
app/(public)/blog/page.tsx,260,site_schema,JSON_stringify,application_ld_json,not_applicable,not_applicable,JSON_LD,not_body_content,KEEP,SAFE
