file,line,endpoint_or_component,log_level,logged_value,contains_pii,contains_sensitive_case_data,contains_secret,operational_value,action,final_status
app/api/consulta/route.ts,138,/api/consulta,log,email_address,true,false,false,none,REMOVE,REMOVED
app/api/consulta/route.ts,140,/api/consulta,log,email_address,true,false,false,none,REMOVE,REMOVED
app/api/consulta/route.ts,118,/api/consulta,error,provider_error_message,possible,possible,possible,diagnose_notification,REDACT,REDACTED_TO_ERROR_CODE
app/api/consulta/route.ts,126,/api/consulta,error,exception_message,possible,possible,possible,diagnose_notification,REDACT,REDACTED_TO_ERROR_CODE
app/api/consulta/route.ts,90,/api/consulta,error,database_failure,false,false,false,diagnose_persistence,REPLACE_WITH_CORRELATION_ID,STRUCTURED
app/api/contacto/route.ts,39,/api/contacto,warn,ip_address_and_name,true,false,false,diagnose_configuration,REDACT,STRUCTURED
app/api/contacto/route.ts,61,/api/contacto,error,provider_error_message,possible,possible,possible,diagnose_notification,REDACT,REDACTED_TO_ERROR_CODE
app/api/contacto/route.ts,80,/api/contacto,warn,provider_error_message,possible,possible,possible,diagnose_autoreply,REDACT,REDACTED_TO_ERROR_CODE
lib/email.ts,117,email_library,error,provider_response_object,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
lib/email.ts,123,email_library,error,exception_message,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
lib/email.ts,202,email_library,error,provider_response_object,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
lib/email.ts,208,email_library,error,exception_message,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
lib/email.ts,254,email_library,error,provider_response_object,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
lib/email.ts,260,email_library,error,exception_message,possible,possible,possible,diagnose_provider,REDACT,RETURN_SAFE_ERROR_CODE
app/api/email/inbound/route.ts,121,/api/email/inbound,log,email_recipients,true,false,false,diagnose_routing,REDACT,STRUCTURED
app/api/email/inbound/route.ts,127,/api/email/inbound,log,sender_recipient_subject,true,true,false,diagnose_delivery,REDACT,STRUCTURED
app/api/email/inbound/route.ts,215,/api/email/inbound,error,provider_response_object,possible,possible,possible,diagnose_provider,REDACT,STRUCTURED
app/api/email/inbound/route.ts,217,/api/email/inbound,log,forward_recipient_and_provider_message_id,true,false,false,confirm_forward,REDACT,STRUCTURED
app/api/whatsapp/route.ts,49,/api/whatsapp,log,message_payload,true,true,possible,confirm_receipt,REDACT,STRUCTURED
lib/captcha.ts,69,captcha,warn,provider_error_codes,false,false,false,diagnose_captcha,REDACT,SAFE_CLASSIFICATION_ONLY
lib/rate-limit.ts,87,rate_limit,error,route_key_prefix,false,false,false,diagnose_fail_closed,KEEP_NON_SENSITIVE,KEPT
components/marketing/solicitar-consulta-form.tsx,170,consultation_form_analytics,event,motivo_general,false,false,false,measure_conversion,KEEP_NON_SENSITIVE,PREDEFINED_CATEGORY_ONLY
components/marketing/solicitar-consulta-form.tsx,151,consultation_form_analytics,event,validation_field_identifier,false,false,false,measure_errors,KEEP_NON_SENSITIVE,NO_FIELD_VALUE
