"slug","publication_state","category","body_length","body_sha256","reviewed_content_hash","signature_valid","source"
"acoso-laboral-mobbing-honduras","PENDING_RESIGNATURE","derecho-laboral","7532","sha256:bbcf94060c4c663b","sha256:038c7736619ea8e9","false","PHASE3_DRY_RUN_PROPOSAL"
"allanamiento-ilegal-violacion-domicilio-honduras","PENDING_RESIGNATURE","derecho-penal","7313","sha256:d1e4014a3e1d98cf","sha256:458cad4fdafe0a53","false","PHASE3_DRY_RUN_PROPOSAL"
"audiencia-inicial-proceso-penal-honduras","PENDING_RESIGNATURE","derecho-penal","7444","sha256:e90e645df3a36375","sha256:88865dd442259b09","false","PHASE3_DRY_RUN_PROPOSAL"
"calcular-liquidacion-laboral-honduras","PENDING_RESIGNATURE","derecho-laboral","7572","sha256:f43c53ec0337b63c","sha256:04cc41ef0cb2c281","false","PHASE3_DRY_RUN_PROPOSAL"
"calcular-prestaciones-laborales-honduras","PENDING_RESIGNATURE","UNKNOWN","10448","sha256:a25c7be244161fff","sha256:8dd6ed3850e0d35c","false","PHASE3_DRY_RUN_PROPOSAL"
"competencia-desleal-como-denunciar-honduras","PENDING_RESIGNATURE","derecho-mercantil","6798","sha256:3e87d65eb1cc0424","sha256:e49e658c3a01c355","false","PHASE3_DRY_RUN_PROPOSAL"
"compraventa-inmuebles-aspectos-legales-honduras","PENDING_RESIGNATURE","derecho-civil","7016","sha256:1969851196d10558","sha256:f0a92b563b22d021","false","PHASE3_DRY_RUN_PROPOSAL"
"constitucion-empresas-honduras-pasos-legales","PENDING_RESIGNATURE","UNKNOWN","7890","sha256:dc872724a6be411f","sha256:4657cf87706ceb87","false","PHASE3_DRY_RUN_PROPOSAL"
"contratos-arrendamiento-derechos-obligaciones-honduras","PENDING_RESIGNATURE","derecho-civil","4717","sha256:6c5621a2e6441ac7","sha256:c045ac534bc21269","false","PHASE3_DRY_RUN_PROPOSAL"
"contratos-franquicia-aspectos","PENDING_RESIGNATURE","derecho-mercantil","7753","sha256:f97db91d81f08edf","sha256:155d76544c53a84c","false","PHASE3_DRY_RUN_PROPOSAL"
"contratos-mercantiles-esenciales-empresas-honduras","PENDING_RESIGNATURE","derecho-mercantil","6871","sha256:f9aaf071d1cff732","sha256:7aec743208b47dc0","false","PHASE3_DRY_RUN_PROPOSAL"
"cuando-prescribe-delito-en-honduras","PENDING_RESIGNATURE","derecho-penal","7166","sha256:996d3f268fd14094","sha256:60988525da867d7a","false","PHASE3_DRY_RUN_PROPOSAL"
"custodia-hijos-honduras-juez","PENDING_RESIGNATURE","derecho-de-familia","8074","sha256:9182809765cc3167","sha256:4be33fee9d83d4fa","false","PHASE3_DRY_RUN_PROPOSAL"
"danos-perjuicios-indemnizacion-honduras","PENDING_RESIGNATURE","derecho-civil","8173","sha256:857e196aaef38bc6","sha256:d278f3eb2cfad389","false","PHASE3_DRY_RUN_PROPOSAL"
"derechos-detenido-honduras-guia-constitucional","PENDING_RESIGNATURE","derecho-penal","8791","sha256:b6739f1a6672b05c","sha256:3f91757e7b5c393d","false","PHASE3_DRY_RUN_PROPOSAL"
"derechos-trabajadora-embarazada-honduras","PENDING_RESIGNATURE","derecho-laboral","6913","sha256:c702fb8b48fa44d3","sha256:002e65b1654391e1","false","PHASE3_DRY_RUN_PROPOSAL"
"despido-injustificado-honduras-derechos-trabajador","PENDING_RESIGNATURE","UNKNOWN","6782","sha256:c191c2125dcd4146","sha256:c442bbf1368afdc1","false","PHASE3_DRY_RUN_PROPOSAL"
"despido-laboral-honduras-guia-completa","PENDING_RESIGNATURE","derecho-laboral","8032","sha256:209872342f1a341d","sha256:0420e76a41f24882","false","PHASE3_DRY_RUN_PROPOSAL"
"diferencia-denuncia-querella-acusacion-honduras","PENDING_RESIGNATURE","derecho-penal","7037","sha256:14d72cee616d6d7e","sha256:0102707b9d88b5d1","false","PHASE3_DRY_RUN_PROPOSAL"
"divorcio-honduras-guia-completa","PENDING_RESIGNATURE","derecho-de-familia","6804","sha256:3c9eba7860be1849","sha256:3c2dbf4a9c86adf4","false","PHASE3_DRY_RUN_PROPOSAL"
"elegir-tipo-sociedad-empresa-honduras","PENDING_RESIGNATURE","UNKNOWN","5655","sha256:ea3a7587f127f063","sha256:3b6bb08bfc1631e5","false","PHASE3_DRY_RUN_PROPOSAL"
"empleador-no-paga-salario-honduras","PENDING_RESIGNATURE","UNKNOWN","6388","sha256:81a9961ab79bed9a","sha256:39969bf23b321fcf","false","PHASE3_DRY_RUN_PROPOSAL"
"estafas-fraudes-tipos-penales-honduras","PENDING_RESIGNATURE","derecho-penal","6214","sha256:66c05b71f0a20cc3","sha256:3830925c724c34e3","false","PHASE3_DRY_RUN_PROPOSAL"
"fianza-medidas-cautelares-proceso-penal-honduras","PENDING_RESIGNATURE","derecho-penal","6811","sha256:f722ca7d54dc14a6","sha256:cbff62f7b004390e","false","PHASE3_DRY_RUN_PROPOSAL"
"guarda-custodia-menores-tipos-honduras","PENDING_RESIGNATURE","UNKNOWN","3770","sha256:f3cfadab42465167","sha256:eb23a692c9b4cff2","false","PHASE3_DRY_RUN_PROPOSAL"
"herencias-honduras-fallece-familiar","PENDING_RESIGNATURE","UNKNOWN","8988","sha256:6991e81b897f7b49","sha256:c50434fa451cd57f","false","PHASE3_DRY_RUN_PROPOSAL"
"incumplimiento-contrato-comercial-honduras","PENDING_RESIGNATURE","derecho-mercantil","7009","sha256:07a9df0a143860e6","sha256:7e9bafaa77ac4286","false","PHASE3_DRY_RUN_PROPOSAL"
"jornada-laboral-horas-extra-descansos-honduras","PENDING_RESIGNATURE","derecho-laboral","7026","sha256:abe46a9a93c4e5a8","sha256:a51a669450a0a6ef","false","PHASE3_DRY_RUN_PROPOSAL"
"pension-alimenticia-honduras-como-solicitarla","PENDING_RESIGNATURE","UNKNOWN","5281","sha256:45e85632039b4f90","sha256:e24e0b6b000fb9b8","false","PHASE3_DRY_RUN_PROPOSAL"
"pension-alimenticia-honduras-guia-completa","PENDING_RESIGNATURE","derecho-de-familia","6409","sha256:80719a595e6718a4","sha256:554b65d2b762c393","false","PHASE3_DRY_RUN_PROPOSAL"
"pension-alimenticia-porcentaje-honduras-2026","PENDING_RESIGNATURE","derecho-de-familia","9975","sha256:2aafcdb9be34a64d","sha256:e0b2fbd4bc37e375","false","PHASE3_DRY_RUN_PROPOSAL"
"poder-legal-honduras-cuando-se-necesita","PENDING_RESIGNATURE","derecho-notarial","8842","sha256:94a28bbfb29b5bf7","sha256:160edca4e27b0b92","false","PHASE3_DRY_RUN_PROPOSAL"
