id,slug,url,title_db,title_rendered,meta_title,meta_description,h1,category,primary_intent,primary_query,author_current,author_proposed,reviewer_current,reviewer_proposed,legal_review_status_raw,legal_review_status_normalized,date_modified,published,indexable,sitemap,word_count,source_count,official_source_count,internal_links,service_link,canonical_target,body_hash,clicks,impressions,ctr,position,action
eaa6cf31-3ac5-46ee-8738-6c86e28ca411,devolucion-impuestos-como-solicitarla-honduras,https://www.pinedayasociadoshn.com/blog/tributario/devolucion-impuestos-como-solicitarla-honduras,Devolución de impuestos en Honduras,Devolución de impuestos en Honduras,Devolución de Impuestos Honduras,"Aprenda cómo solicitar la devolución de impuestos (ISR, ISV) en Honduras. Conozca plazos, requisitos y procedimientos ante el SAR.",Devolución de impuestos en Honduras,tributario,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:11.715Z,true,false,false,968,1,1,1,,https://www.pinedayasociadoshn.com/blog/tributario/devolucion-impuestos-como-solicitarla-honduras,98e7ace1e5ca5e5d16864bc1c86b081c038eaf5e2c59b0968f59e6913e9d3c0a,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
3ed521d4-73d4-4e5f-89b5-1febcc4f16cc,tarjetas-credito-intereses-cargos-defensa-honduras,https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras,Tarjetas de Crédito en Honduras,Tarjetas de Crédito en Honduras,Reclama Cargos Indebidos Tarjeta Crédito Honduras,Conoce tus derechos y cómo reclamar cargos indebidos en tu tarjeta de crédito en Honduras. Guía legal sobre Ley del Consumidor y CNBS.,Tarjetas de Crédito en Honduras,derecho-bancario,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:28.238Z,true,false,false,839,0,0,0,,https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras,4f51b7e0c15977bb02bac119f1650b2a764b2bb48b0c0af0dc92f50a72ab507f,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
ad19fe36-743c-4c7a-97d6-e50136c01514,registro-medicamentos-productos-farmaceuticos-honduras,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras,Registro de medicamentos en Honduras,Registro de medicamentos en Honduras,Registro de Medicamentos en Honduras,"Descubra los requisitos técnicos, costos y plazos reales para obtener un registro sanitario ante ARSA en Honduras.",Registro de medicamentos en Honduras,regulacion-sanitaria,informational,registrar medicamento,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:26.492Z,true,false,false,667,0,0,1,,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras,988408db629739fd53bc51886404fb44df8431c878940a3d1e68c2ea4633c48e,0,1,0.0000,9.00,NOINDEX_PENDING_REVIEW
04c4ced4-414f-4ee9-b9d7-cd3146f3fdf1,contratos-empleadas-domesticas-obligaciones-honduras,https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras,Contratos para Empleadas Domésticas en Honduras,Contratos para Empleadas Domésticas en Honduras,Contrato Empleada Doméstica Honduras,"Conoce cómo regular el contrato de empleadas domésticas en Honduras. Evita reclamos con documentación legal, liquidaciones exactas y afiliación al IHSS.",Contratos para Empleadas Domésticas en Honduras,derecho-laboral,informational,,Pineda y Asociados,Emil Barahona,,Thania Marlene Paz,reviewed,lawyer_review_pending,2026-07-07T18:39:05.835Z,true,false,false,838,0,0,1,,https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras,36b2608badb5e62b2434756a921f16fa6a3d963ea1c8fd1784c062487774a22d,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
e9940c7b-1843-4cee-9629-fb4a9524e7fc,registro-sanitario-alimentos-arsa-paso-a-paso-honduras,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras,Registro Sanitario de Alimentos en Honduras,Registro Sanitario de Alimentos en Honduras,Registro sanitario ARSA Honduras: requisitos y pasos,Revise los requisitos y pasos para tramitar ante ARSA el registro sanitario de alimentos procesados en Honduras.,Registro Sanitario de Alimentos en Honduras,regulacion-sanitaria,informational,requisitos registro sanitario alimentos,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-26T07:43:28.715Z,true,false,false,588,1,1,2,,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras,1bc2b55c1cf2a22c91ec567702e5287974e9e8993b8963143621c3fadb23db8a,0,6,0.0000,7.17,NOINDEX_PENDING_REVIEW
3df7d4b3-f04a-4ae4-94dd-7e82a6d402f9,arraigo-social-laboral-hondurenos-espana,https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana,Arraigo social y laboral en España para,Arraigo social y laboral en España para,Arraigo Social y Laboral en España para,"Guía completa sobre requisitos y documentación para el arraigo social, laboral y familiar en España para ciudadanos hondureños. Consulte a expertos.",Arraigo social y laboral en España para,hondurenos-en-espana,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:00.575Z,true,false,false,684,0,0,0,,https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana,71af9b246cc0d941a7bac02829908a7e8c77f749d86c7e0aad50ca7081b9fcc1,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
22af0864-73e2-4523-a792-e067a35868b0,pineda-asociados-bufete-multidisciplinario-honduras,https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras,Bufete Multidisciplinario en Honduras,Bufete Multidisciplinario en Honduras,Bufete Multidisciplinario Honduras,"Descubra cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene. Asesoría legal completa para empresas y familias.",Bufete Multidisciplinario en Honduras,practica-legal,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:22.062Z,true,false,false,940,0,0,0,,https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras,4b7c9c10e9b8943ae8b0c4ebdc4bc474f536c55b5afd48f8085d1e3dd246a52b,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
d78c417c-a43d-47ca-90fa-8a143c149162,zonas-libres-zoli-beneficios-fiscales-honduras,https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras,Zonas Libres en Honduras (ZOLI): Beneficios Fiscales y Requisitos Legales,Zonas Libres en Honduras (ZOLI): Beneficios Fiscales y Requisitos Legales,Zonas Libres (ZOLI) Honduras: Beneficios,Descubra los beneficios fiscales y requisitos para operar en Zonas Libres (ZOLI) de Honduras. Ideal para Inversión Extranjera Directa (IED) con exenciones,Zonas Libres en Honduras (ZOLI): Beneficios Fiscales y Requisitos Legales,derecho-aduanero,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-27T07:57:50.028Z,true,false,false,1003,0,0,1,,https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras,16e1b846e2e5adb8b653a5613bbb09f2f9c9259d0eb1b6d2486c3775d0a06d89,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
5f5d38c4-cba3-4f4d-b5b4-8140e538bb23,habilitacion-clinicas-hospitales,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales,Licencia Sanitaria en Honduras: Guía Completa,Licencia Sanitaria en Honduras: Guía Completa,Licencia Sanitaria Honduras: Guía Completa,"Obtén tu Licencia Sanitaria en Honduras. Guía completa de requisitos, trámites ante SESAL y ARSA, y cómo el Portal Digital de Inversiones (PDI) puede",Licencia Sanitaria en Honduras: Guía Completa,regulacion-sanitaria,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-10T09:52:43.128Z,true,false,false,630,0,0,1,,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales,ec431f7c43b5c9f0b514510d4d4ffb7dab8fc473037f553713c647e0004f9c91,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
96a6a3a2-73d6-4819-86e0-c087063678ad,reformas-legales-recientes-honduras,https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras,Reformas Legales Honduras 2024: Guía Completa,Reformas Legales Honduras 2024: Guía Completa,Reformas Legales Honduras 2024,"Guía completa sobre las reformas legales en Honduras 2024: Código Penal, Código de Familia, Ley Contra Violencia Doméstica y el Nuevo Régimen de",Reformas Legales Honduras 2024: Guía Completa,noticias-legales,informational,,Pineda y Asociados,HUMAN_ASSIGNMENT_REQUIRED,,,reviewed,lawyer_review_pending,2026-07-07T18:39:25.776Z,true,false,false,944,0,0,1,,https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras,60ff872763e8a45dde466e0410a4bfa12001c261aada146eea462790f72638a9,0,0,0.0000,0.00,NOINDEX_PENDING_REVIEW
