"url","surface","page","total_pages","has_tag","has_month","http_status","redirect_location","indexable","canonical","og_url","schema_url","prev_url","next_url","title","description","content_signature","in_sitemap","issue","recommended_action","final_status"
"/blog","hub","1","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog","https://www.pinedayasociadoshn.com/blog","https://www.pinedayasociadoshn.com/blog","","https://www.pinedayasociadoshn.com/blog?page=2","Blog Jurídico","Artículos jurídicos.","f29f6583ce44fe5509f97c7a8c90e41e0f79fbf654e6e0945d1f89bbd3f3a423","true","NONE","NONE","PASS"
"/blog?page=2","hub","2","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=2","https://www.pinedayasociadoshn.com/blog?page=2","https://www.pinedayasociadoshn.com/blog?page=2","https://www.pinedayasociadoshn.com/blog","https://www.pinedayasociadoshn.com/blog?page=3","Blog Jurídico — Página 2","Artículos jurídicos. Página 2.","3565535a7c31bd2fce9e5003a64949e9fc6c303d2ddc0480cfdcc9d393fc1e0c","false","NONE","NONE","PASS"
"/blog?page=3","hub","3","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=3","https://www.pinedayasociadoshn.com/blog?page=3","https://www.pinedayasociadoshn.com/blog?page=3","https://www.pinedayasociadoshn.com/blog?page=2","https://www.pinedayasociadoshn.com/blog?page=4","Blog Jurídico — Página 3","Artículos jurídicos. Página 3.","64525cb20c68dea2c9d7737fad7efc9d6c22b0e32179fc35ff636a48b4822a9b","false","NONE","NONE","PASS"
"/blog?page=4","hub","4","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=4","https://www.pinedayasociadoshn.com/blog?page=4","https://www.pinedayasociadoshn.com/blog?page=4","https://www.pinedayasociadoshn.com/blog?page=3","https://www.pinedayasociadoshn.com/blog?page=5","Blog Jurídico — Página 4","Artículos jurídicos. Página 4.","5ae4bba7b966fc993d7750b4de27128d81ec57f6b9a039db0f7c670b9e75994a","false","NONE","NONE","PASS"
"/blog?page=5","hub","5","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=5","https://www.pinedayasociadoshn.com/blog?page=5","https://www.pinedayasociadoshn.com/blog?page=5","https://www.pinedayasociadoshn.com/blog?page=4","https://www.pinedayasociadoshn.com/blog?page=6","Blog Jurídico — Página 5","Artículos jurídicos. Página 5.","e37642f4c05b261fc2b9d6df060fbe38587c21013a91398f25e583a31cb79383","false","NONE","NONE","PASS"
"/blog?page=6","hub","6","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=6","https://www.pinedayasociadoshn.com/blog?page=6","https://www.pinedayasociadoshn.com/blog?page=6","https://www.pinedayasociadoshn.com/blog?page=5","https://www.pinedayasociadoshn.com/blog?page=7","Blog Jurídico — Página 6","Artículos jurídicos. Página 6.","27643d711a3791c060886bc89577bfb2c1f4cceaef9923d6a07136d780bd29cc","false","NONE","NONE","PASS"
"/blog?page=7","hub","7","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=7","https://www.pinedayasociadoshn.com/blog?page=7","https://www.pinedayasociadoshn.com/blog?page=7","https://www.pinedayasociadoshn.com/blog?page=6","https://www.pinedayasociadoshn.com/blog?page=8","Blog Jurídico — Página 7","Artículos jurídicos. Página 7.","cc12433d29060f34af816e7b59bf2af31bb12030b93158fb64ef2fde1f97c6f7","false","NONE","NONE","PASS"
"/blog?page=8","hub","8","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=8","https://www.pinedayasociadoshn.com/blog?page=8","https://www.pinedayasociadoshn.com/blog?page=8","https://www.pinedayasociadoshn.com/blog?page=7","https://www.pinedayasociadoshn.com/blog?page=9","Blog Jurídico — Página 8","Artículos jurídicos. Página 8.","330d8270b3911845c58b789a42feb0966fa7579e9fc921f037e8aa23f9b4d611","false","NONE","NONE","PASS"
"/blog?page=9","hub","9","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=9","https://www.pinedayasociadoshn.com/blog?page=9","https://www.pinedayasociadoshn.com/blog?page=9","https://www.pinedayasociadoshn.com/blog?page=8","https://www.pinedayasociadoshn.com/blog?page=10","Blog Jurídico — Página 9","Artículos jurídicos. Página 9.","6ede9550e10eddc9c0ca01f4486f3c640edf64a2b822227edf64a20dc99bba17","false","NONE","NONE","PASS"
"/blog?page=10","hub","10","11","false","false","200","","true","https://www.pinedayasociadoshn.com/blog?page=10","https://www.pinedayasociadoshn.com/blog?page=10","https://www.pinedayasociadoshn.com/blog?page=10","https://www.pinedayasociadoshn.com/blog?page=9","https://www.pinedayasociadoshn.com/blog?page=11","Blog Jurídico — Página 10","Artículos jurídicos. Página 10.","2765e2cd36341ae3c059154277fa68a2be25920780150733dce89dc330deaa6d","false","NONE","NONE","PASS"
