"consumer","route","function","projection","needs_body","needs_signatures","needs_notes","estimated_rows","query_count_before","query_count_after","action","final_status"
"Blog hub","/blog","getAllPosts","summary","false","false","false","135","1","1","MOVE_TO_SUMMARY","PASS"
"Blog hub page 2","/blog?page=2","getAllPosts","summary","false","false","false","135","1","1","MOVE_TO_SUMMARY","PASS"
"Category page","/blog/[categoria]","getPostsByCategory","summary","false","false","false","category_count","1","1","MOVE_TO_SUMMARY","PASS"
"Article metadata","/blog/[categoria]/[slug]","getPostBySlug","detail","true","true","false","1","1","shared","CACHE_REQUEST_SCOPED","PASS"
"Article page","/blog/[categoria]/[slug]","getPostBySlug","detail","true","true","false","1","1","shared","CACHE_REQUEST_SCOPED","PASS"
"Article inventory","/blog/[categoria]/[slug]","getAllPosts","summary","false","false","false","135","2","1","DEDUPLICATE","PASS"
"Related articles","/blog/[categoria]/[slug]","getRelatedPostsFromSummaries","summary","false","false","false","135","1","0","DERIVE_IN_MEMORY","PASS"
"Article sidebar","/blog/[categoria]/[slug]","derive*","summary","false","false","false","135","0","0","DERIVE_IN_MEMORY","PASS"
"Article static params","build","getAllPostParams","params","false","false","false","135","1","1","REMOVE_UNUSED_FIELD","PASS"
"Category static params","build","getAllCategorySlugs","category","false","false","false","20","1","1","KEEP_DETAIL","PASS"
"Sitemap","/sitemap.xml","getAllPosts","summary","false","false","false","135","1","1","MOVE_TO_SUMMARY","PASS"
"RSS","/blog/feed.xml","getAllPosts","summary","false","false","false","30_of_135","1","1","MOVE_TO_SUMMARY","PASS"
"BlogHighlights","multiple public routes","getAllPosts","summary","false","false","false","135","1","1","MOVE_TO_SUMMARY","PASS"
"Service highlights","/servicios-juridicos/[slug]","getPostsByCategory","summary","false","false","false","category_count","1","1","MOVE_TO_SUMMARY","PASS"
"Penal highlights","/derecho-penal/**","getPostsByCategory","summary","false","false","false","16","1","1","MOVE_TO_SUMMARY","PASS"
"Spain highlights","/hondurenos-en-espana/[slug]","getPostsByCategory","summary","false","false","false","8","1","1","MOVE_TO_SUMMARY","PASS"
"Revalidation API","/api/revalidate","getPublishedPostRouteBySlug","params","false","false","false","1","1","1","REMOVE_UNUSED_FIELD","PASS"
