"slug","production_body_hash","recovered_body_hash","same_body","production_title","recovered_title","same_title","production_meta","recovered_meta","same_meta","production_canonical","recovered_canonical","status"
"abogado-aduanero-san-lorenzo","b7f970e484b494b53cacfaa02815e0cd9615c54c3ea99fdc629ad75c13e0617c","b7f970e484b494b53cacfaa02815e0cd9615c54c3ea99fdc629ad75c13e0617c","true","Abogado Aduanero en San Lorenzo, Honduras: Guía","Abogado Aduanero en San Lorenzo, Honduras: Guía","true","{""description"":""Abogado aduanero en San Lorenzo especializado en importaciones, exportaciones, clasificación arancelaria, despacho aduanero y defensa ante el SAR. Presencia en"",""noindex"":false}","{""description"":""Abogado aduanero en San Lorenzo especializado en importaciones, exportaciones, clasificación arancelaria, despacho aduanero y defensa ante el SAR. Presencia en"",""noindex"":false}","true","","","MATCH"
"abogado-civil-choluteca","57857dadefc4470150a3ab02e662f60d4ffd3fd3bcb54ea8199f74fe0cadd4b5","57857dadefc4470150a3ab02e662f60d4ffd3fd3bcb54ea8199f74fe0cadd4b5","true","Abogado Civil en Choluteca","Abogado Civil en Choluteca","true","{""description"":""Abogado civil en Choluteca para contratos, compraventa de inmuebles, testamentos, herencias, cobro de deudas y usucapión. Presencia en juzgados civiles de la"",""noindex"":false}","{""description"":""Abogado civil en Choluteca para contratos, compraventa de inmuebles, testamentos, herencias, cobro de deudas y usucapión. Presencia en juzgados civiles de la"",""noindex"":false}","true","","","MATCH"
"abogado-empresas-san-lorenzo","928daf427759cf571ce97b40b3c7aff9d9eea70b737131f757bc4d6c7ae6caa2","928daf427759cf571ce97b40b3c7aff9d9eea70b737131f757bc4d6c7ae6caa2","true","Abogado Empresarial en San Lorenzo","Abogado Empresarial en San Lorenzo","true","{""description"":""Abogado empresarial en San Lorenzo para constitución de sociedades, contratos mercantiles, cumplimiento laboral y tributario. Asesoría a importadores y"",""noindex"":false}","{""description"":""Abogado empresarial en San Lorenzo para constitución de sociedades, contratos mercantiles, cumplimiento laboral y tributario. Asesoría a importadores y"",""noindex"":false}","true","","","MATCH"
"abogado-familia-choluteca","48af80af896197380f906cf55a161ee55d5bac4f77ede879e0ed09ec335c931a","48af80af896197380f906cf55a161ee55d5bac4f77ede879e0ed09ec335c931a","true","Abogado de Familia en Choluteca","Abogado de Familia en Choluteca","true","{""description"":""Abogado de familia en Choluteca para divorcio, pensión alimenticia, custodia de menores, adopción y violencia doméstica. Atención personalizada en el Juzgado"",""noindex"":false}","{""description"":""Abogado de familia en Choluteca para divorcio, pensión alimenticia, custodia de menores, adopción y violencia doméstica. Atención personalizada en el Juzgado"",""noindex"":false}","true","","","MATCH"
"abogado-laboral-choluteca","716c810fda1b65a7c1676545d426c432a1bb24e3003be5f18a23d47b0a9c2e6b","716c810fda1b65a7c1676545d426c432a1bb24e3003be5f18a23d47b0a9c2e6b","true","Abogado Laboral en Choluteca, Honduras: Despidos","Abogado Laboral en Choluteca, Honduras: Despidos","true","{""description"":""Abogado laboral en Choluteca especializado en despidos injustificados, liquidaciones, reclamos salariales y accidentes laborales. Plazo de 2 meses para"",""noindex"":false}","{""description"":""Abogado laboral en Choluteca especializado en despidos injustificados, liquidaciones, reclamos salariales y accidentes laborales. Plazo de 2 meses para"",""noindex"":false}","true","","","MATCH"
"abogado-penalista-sur-honduras","9449f7336feb57744dc6a6bc75ddaf526ed7e2059b605b2643c299505649bff8","9449f7336feb57744dc6a6bc75ddaf526ed7e2059b605b2643c299505649bff8","true","Abogado Penalista en el Sur de Honduras","Abogado Penalista en el Sur de Honduras","true","{""description"":""Nacaome, Choluteca, Valle: la cercanía al tribunal es una ventaja procesal real. Conocimiento de jueces, inmediatez en las primeras 48 horas y criterios para"",""noindex"":false}","{""description"":""Nacaome, Choluteca, Valle: la cercanía al tribunal es una ventaja procesal real. Conocimiento de jueces, inmediatez en las primeras 48 horas y criterios para"",""noindex"":false}","true","","","MATCH"
"abogados-en-amapala-valle","7f9b106761bfe6d5ea42a9f9c414170e5f91fe3a0e9348da1ccc48d9f309cf7f","7f9b106761bfe6d5ea42a9f9c414170e5f91fe3a0e9348da1ccc48d9f309cf7f","true","Abogados en Amapala, Honduras: Guía Legal","Abogados en Amapala, Honduras: Guía Legal","true","{""description"":""Abogados en Amapala, Valle para derecho mercantil, civil, laboral y de familia. Presencia local y atención cercana en la zona sur."",""noindex"":false}","{""description"":""Abogados en Amapala, Valle para derecho mercantil, civil, laboral y de familia. Presencia local y atención cercana en la zona sur."",""noindex"":false}","true","","","MATCH"
"abogados-en-choluteca","3ba9572c5cf8a1e2ca2bc9864d3d70d1cb3ab7b22b877d8ff5e434a657258e8c","3ba9572c5cf8a1e2ca2bc9864d3d70d1cb3ab7b22b877d8ff5e434a657258e8c","true","Abogados en Choluteca","Abogados en Choluteca","true","{""description"":""Abogados en Choluteca con presencia real en los juzgados de la zona sur. Penal, laboral, familia, civil, mercantil y bancario. Atención rápida para casos"",""noindex"":false}","{""description"":""Abogados en Choluteca con presencia real en los juzgados de la zona sur. Penal, laboral, familia, civil, mercantil y bancario. Atención rápida para casos"",""noindex"":false}","true","/abogados-en-choluteca","/abogados-en-choluteca","MATCH"
"abogados-en-marcovia-choluteca","c4d72e4be74f6c1b88c33dec06a8d773916ba2dc62f0aaf820c2fcc65b95c67a","c4d72e4be74f6c1b88c33dec06a8d773916ba2dc62f0aaf820c2fcc65b95c67a","true","Abogados en Marcovia, Choluteca","Abogados en Marcovia, Choluteca","true","{""description"":""Abogados en Marcovia, Choluteca. Servicios jurídicos en derecho penal, familia, laboral, civil y notarial para residentes y empresas del municipio costero."",""noindex"":false}","{""description"":""Abogados en Marcovia, Choluteca. Servicios jurídicos en derecho penal, familia, laboral, civil y notarial para residentes y empresas del municipio costero."",""noindex"":false}","true","","","MATCH"
"abogados-en-nacaome","5a5eaf4971633dde51e3bdf9bcbcf78f585bde4c99ba8c90f9fd2db38004dc66","5a5eaf4971633dde51e3bdf9bcbcf78f585bde4c99ba8c90f9fd2db38004dc66","true","Abogados en Nacaome, Valle: 15 Años de","Abogados en Nacaome, Valle: 15 Años de","true","{""description"":""Bufete de abogados en Nacaome, Valle con más de 15 años de experiencia. Derecho penal, laboral, familia, civil y mercantil en la zona sur de Honduras. Atención"",""noindex"":false}","{""description"":""Bufete de abogados en Nacaome, Valle con más de 15 años de experiencia. Derecho penal, laboral, familia, civil y mercantil en la zona sur de Honduras. Atención"",""noindex"":false}","true","/abogados-en-nacaome","/abogados-en-nacaome","MATCH"
