"slug","category","title","production_db_exists","production_published","production_url_status","production_sitemap","main_exists","preview_db_exists","preview_fixture_exists","preview_url_status","historically_visible","review_origin","signature_type","review_status","noindex","canonical","redirect_target","body_hash_production","body_hash_preview","missing_in_preview","recovery_action","reason","final_status"
"abogado-aduanero-san-lorenzo","derecho-aduanero","Abogado Aduanero en San Lorenzo, Honduras: Guía","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:b7f970e484b4","sha256:b7f970e484b4","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogado-civil-choluteca","derecho-civil","Abogado Civil en Choluteca","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:57857dadefc4","sha256:57857dadefc4","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogado-empresas-san-lorenzo","derecho-mercantil","Abogado Empresarial en San Lorenzo","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:928daf427759","sha256:928daf427759","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogado-familia-choluteca","derecho-de-familia","Abogado de Familia en Choluteca","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:48af80af8961","sha256:48af80af8961","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogado-laboral-choluteca","derecho-laboral","Abogado Laboral en Choluteca, Honduras: Despidos","true","true","200","true","true","true","false","","true","firm_historical_review","firm","reviewed","false","","","sha256:716c810fda1b","sha256:716c810fda1b","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogado-penalista-choluteca","derecho-penal","Abogado Penalista en Choluteca","true","false","308","false","true","false","false","","false","","","needs_human_review","false","","","sha256:792cc8d37a98","","false","KEEP_UNPUBLISHED","Registro no publicado fuera del baseline histórico de 141.","UNPUBLISHED_PRESERVED"
"abogado-penalista-sur-honduras","derecho-penal","Abogado Penalista en el Sur de Honduras","true","true","200","true","true","true","false","","true","firm_historical_review","firm","needs_human_review","false","","","sha256:9449f7336feb","sha256:9449f7336feb","false","KEEP_HISTORICAL_ARTICLE","Artículo histórico publicado en Production.","RECOVERED"
"abogados-en-amapala-valle","practica-legal","Abogados en Amapala, Honduras: Guía Legal","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","","/abogados-en-amapala","sha256:7f9b106761bf","sha256:7f9b106761bf","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
"abogados-en-choluteca","practica-legal","Abogados en Choluteca","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","/abogados-en-choluteca","/abogados-en-choluteca","sha256:3ba9572c5cf8","sha256:3ba9572c5cf8","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
"abogados-en-marcovia-choluteca","practica-legal","Abogados en Marcovia, Choluteca","true","false","308","false","true","true","false","","true","firm_historical_review","firm","reviewed","false","","/abogados-en-marcovia","sha256:c4d72e4be74f","sha256:c4d72e4be74f","false","KEEP_REDIRECT","Ruta histórica consolidada mediante redirect hacia landing local.","REDIRECT_PRESERVED"
