"route","slug","category","database_published","database_body_hash","route_handler_exists","redirect_source","redirect_destination","redirect_code","runtime_preview_status","runtime_preview_location","runtime_production_status","runtime_production_location","canonical","in_sitemap","indexable","metadata_override","internal_links_count","gsc_clicks","gsc_impressions","external_backlinks_known","collision_type","recommended_action","final_action","final_status"
"/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","arbitraje-honduras-guia-completa","conciliacion-arbitraje","true","sha256:962982abb9b22c98","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","centro-conciliacion-arbitraje-ccic","conciliacion-arbitraje","true","sha256:66aa971fd8b03e2e","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras","mediacion-familiar-cuando-funciona-honduras","conciliacion-arbitraje","true","sha256:bbf819a1912d0e4f","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir","mediacion-vs-juicio-cual-elegir","conciliacion-arbitraje","true","sha256:c19041c16fb636f9","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-administrativo/contratacion-publica-licitaciones","contratacion-publica-licitaciones","derecho-administrativo","true","sha256:6c597aa9631b97e3","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-administrativo/contratacion-publica-licitaciones","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-administrativo/despido-empleados-publicos-honduras","despido-empleados-publicos-honduras","derecho-administrativo","true","sha256:04982b73e6ee13b4","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-administrativo/despido-empleados-publicos-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","expropiacion-forzosa-derechos-propietario-honduras","derecho-administrativo","true","sha256:a151d64677474dc1","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-administrativo/recurso-de-amparo-honduras-guia-completa","recurso-de-amparo-honduras-guia-completa","derecho-administrativo","true","sha256:1d7bdda45d028033","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-administrativo/recurso-de-amparo-honduras-guia-completa","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-administrativo/sanciones-administrativas-como-defenderse-honduras","sanciones-administrativas-como-defenderse-honduras","derecho-administrativo","true","sha256:69297044e11eac75","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-administrativo/sanciones-administrativas-como-defenderse-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/abogado-aduanero-san-lorenzo","abogado-aduanero-san-lorenzo","derecho-aduanero","true","sha256:b7f970e484b494b5","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/abogado-aduanero-san-lorenzo","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/codigo-aduanero-centroamericano","codigo-aduanero-centroamericano","derecho-aduanero","true","sha256:41e1adf554e7bac0","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/codigo-aduanero-centroamericano","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/guia-aduanera-importaciones-honduras","guia-aduanera-importaciones-honduras","derecho-aduanero","true","sha256:d2a4ff40d96f20f9","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/guia-aduanera-importaciones-honduras","true","true","true","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/importaciones-san-lorenzo","importaciones-san-lorenzo","derecho-aduanero","true","sha256:c8103187d4f1e950","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/importaciones-san-lorenzo","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/importar-china-guia-aduanera","importar-china-guia-aduanera","derecho-aduanero","true","sha256:7169de277b587636","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/importar-china-guia-aduanera","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/importar-mercancias-guia-aduanera","importar-mercancias-guia-aduanera","derecho-aduanero","true","sha256:03f41c872342ff33","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/importar-mercancias-guia-aduanera","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","true","sha256:16e1b846e2e5adb8","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","true","sha256:cf7b1dcf7394b63e","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-ambiental/derecho-ambiental-honduras","derecho-ambiental-honduras","derecho-ambiental","true","sha256:d7024be5f211c571","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-ambiental/derecho-ambiental-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-ambiental/derechos-indigenas-consulta-previa-honduras","derechos-indigenas-consulta-previa-honduras","derecho-ambiental","true","sha256:77156fca08704ea0","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-ambiental/derechos-indigenas-consulta-previa-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
"/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","evaluacion-impacto-ambiental-honduras","derecho-ambiental","true","sha256:191d509168a5791e","true","false","","","VALIDATE_AFTER_DEPLOY","","READ_ONLY_NOT_MUTATED","","/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","true","true","false","","","","","NONE","KEEP","KEEP","SAFE"
