"dataset","url","slug","category","title","published","legal_review_status","wordCount","clicks","impressions","position","ctr","action","priority","reason","cannibalizationCluster"
"content_action_plan","https://www.pinedayasociadoshn.com/blog/tributario/devolucion-impuestos-como-solicitarla-honduras","devolucion-impuestos-como-solicitarla-honduras","tributario","Devolución de impuestos en Honduras","true","lawyer_review_pending","968","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras","tarjetas-credito-intereses-cargos-defensa-honduras","derecho-bancario","Tarjetas de Crédito en Honduras","true","lawyer_review_pending","839","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","registro-medicamentos-productos-farmaceuticos-honduras","regulacion-sanitaria","Registro de medicamentos en Honduras","true","lawyer_review_pending","667","1","246","7.3","0.41","UPDATE","P1","Impresiones altas, posición 7.3, CTR bajo (0.4%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras","contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","Contratos para Empleadas Domésticas en Honduras","true","lawyer_review_pending","838","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras","registro-sanitario-alimentos-arsa-paso-a-paso-honduras","regulacion-sanitaria","Registro Sanitario de Alimentos en Honduras","true","lawyer_review_pending","588","3","124","7.7","2.42","UPDATE","P1","Impresiones altas, posición 7.7, CTR bajo (2.4%)",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","Arraigo social y laboral en España para","true","lawyer_review_pending","684","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras","pineda-asociados-bufete-multidisciplinario-honduras","practica-legal","Bufete Multidisciplinario en Honduras","true","lawyer_review_pending","940","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","Zonas Libres en Honduras (ZOLI): Beneficios Fiscales y Requisitos Legales","true","lawyer_review_pending","1003","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","habilitacion-clinicas-hospitales","regulacion-sanitaria","Licencia Sanitaria en Honduras: Guía Completa","true","lawyer_review_pending","630","0","0","0.0","0.00","DATA_REQUIRED","P3","Publicado sin demanda GSC en 180d; decidir NOINDEX/consolidación",""
"content_action_plan","https://www.pinedayasociadoshn.com/blog/noticias-legales/reformas-legales-recientes-honduras","reformas-legales-recientes-honduras","noticias-legales","Reformas Legales Honduras 2024: Guía Completa","true","lawyer_review_pending","944","0","16","0.0","0.00","KEEP","P3","Demanda moderada o tráfico estable",""
