"priority","url","area","primary_query","secondary_queries","clicks","impressions","ctr","position","legal_risk","content_quality","current_status","recommended_action","author_proposed","reviewer_proposed","batch","query_decision"
"1","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","derecho-de-familia","porcentaje pensión alimenticia honduras","","15","306","0.0490","3.96","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","GSC_QUERY_MATCHED"
"2","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","derecho-de-familia","pensión alimenticia honduras requisitos","","1","145","0.0069","6.66","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","GSC_QUERY_MATCHED"
"3","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa","derecho-de-familia","divorcio en honduras requisitos","","0","82","0.0000","10.24","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","GSC_QUERY_MATCHED"
"4","https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras","derecho-civil","prescripción de deudas honduras","","2","86","0.0233","4.40","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","GSC_QUERY_MATCHED"
"5","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","derecho-notarial","poder notarial honduras","","0","82","0.0000","5.51","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","GSC_QUERY_MATCHED"
"6","https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras","derecho-civil","daños y perjuicios honduras","","3","80","0.0375","6.31","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","GSC_QUERY_MATCHED"
"7","https://www.pinedayasociadoshn.com/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras","derecho-penal","diferencia denuncia querella acusación honduras","","1","53","0.0189","8.92","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","GSC_QUERY_MATCHED"
"8","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras","derecho-mercantil","competencia desleal honduras","","5","42","0.1190","7.10","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","mercantil","GSC_QUERY_MATCHED"
"9","https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","derecho-penal","delito de estafa en honduras","","0","28","0.0000","9.14","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","GSC_QUERY_MATCHED"
"10","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa","derecho-laboral","despido injustificado honduras","","1","21","0.0476","12.00","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","GSC_QUERY_MATCHED"
"11","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-como-solicitarla","derecho-de-familia","cómo solicitar pensión alimenticia honduras","","0","20","0.0000","8.70","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","GSC_QUERY_MATCHED"
"12","https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras","derecho-laboral","derechos trabajadora embarazada honduras","","0","15","0.0000","11.33","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","GSC_QUERY_MATCHED"
"13","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-prescribe-delito-en-honduras","derecho-penal","prescripción de delitos en honduras","","0","8","0.0000","4.25","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","GSC_QUERY_MATCHED"
"14","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","derecho-de-familia","custodia de hijos honduras","","0","7","0.0000","4.86","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","familia","GSC_QUERY_MATCHED"
"15","https://www.pinedayasociadoshn.com/blog/derecho-penal/que-hacer-si-me-detienen-en-honduras","derecho-penal","qué hacer si me detienen en honduras","","0","6","0.0000","3.67","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Danilo Pineda Maradiaga","Emil Barahona","penal","NO_RELIABLE_GSC_QUERY"
"16","https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","derecho-civil","cómo cobrar una deuda en honduras","","0","14","0.0000","7.64","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Thania Marlene Paz","Emil Barahona","civil-notarial","GSC_QUERY_MATCHED"
"17","https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras","derecho-laboral","empleador no paga salario honduras","","0","3","0.0000","8.33","HIGH","NEEDS_DOCUMENTARY_REVIEW","lawyer_review_pending","READY_FOR_LAWYER_REVIEW","Emil Barahona","Thania Marlene Paz","laboral","GSC_QUERY_MATCHED"
