"environment","table","record_id","field","route","violation","severity","match","before_hash","proposed_after_hash","automatic_or_manual","status"
"staging","data/seo/preview-blog-fixtures.json","cobro-deudas-choluteca","*","/blog/* (fixture cobro-deudas-choluteca)","prohibited_commercial_claim","error","evaluación gratuita","065f6a8467a55ac3","fc3606598bc8b7c4","automatic","TEST_FIXTURE_ALLOWED"
"staging","blog_posts","517069ab-eb99-4756-8fbb-c5ec0b9e3cfb","body","/blog/practica-legal/abogados-en-amapala-valle","prohibited_commercial_claim","error","consulta sin costo","7f9b106761bfe6d5","1a65dc09844658cf","automatic","OPEN"
"staging","blog_posts","517069ab-eb99-4756-8fbb-c5ec0b9e3cfb","body","/blog/practica-legal/abogados-en-amapala-valle","prohibited_commercial_claim","error","primera consulta sin costo","7f9b106761bfe6d5","ba3ce0b06b4ebc52","automatic","OPEN"
"staging","blog_posts","2e4bf184-e05f-41cf-9722-140ce084c445","body","/blog/practica-legal/abogados-en-choluteca","prohibited_commercial_claim","error","consulta sin costo","3ba9572c5cf8a1e2","8f7e10c0003f399b","automatic","OPEN"
"staging","blog_posts","2e4bf184-e05f-41cf-9722-140ce084c445","body","/blog/practica-legal/abogados-en-choluteca","prohibited_commercial_claim","error","primera consulta sin costo","3ba9572c5cf8a1e2","5381de8c09dcfe4d","automatic","OPEN"
"staging","blog_posts","91faa1bc-58ba-46b9-a439-aebdbaec2530","body","/blog/practica-legal/abogados-en-pespire-choluteca","prohibited_commercial_claim","error","primera consulta para evaluar la situación y cotizar sin compromiso","4a0a96ac0d4a0e6a","e8b6798efb9491ec","automatic","OPEN"
"staging","blog_posts","91faa1bc-58ba-46b9-a439-aebdbaec2530","body","/blog/practica-legal/abogados-en-pespire-choluteca","prohibited_commercial_claim","error","consulta para evaluar la situación y cotizar sin compromiso","4a0a96ac0d4a0e6a","18eecb20f127167a","automatic","OPEN"
"staging","blog_posts","5bf04de5-eabe-4f39-94ca-fd46124cd0cd","body","/blog/practica-legal/abogados-en-san-lorenzo","prohibited_commercial_claim","error","consulta inicial gratuita","099fa23bdd3bc84a","f2cc0e968e389fbf","automatic","OPEN"
"staging","blog_posts","4b151cbf-7a3c-429d-913e-04f44d0a4a5e","body","/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","prohibited_commercial_claim","error","Consulta Gratuita","962982abb9b22c98","8e41035c843398e7","automatic","OPEN"
"staging","blog_posts","7d7320ca-8f6c-4ef8-91b2-7628491579fd","body","/blog/derecho-civil/cobro-deudas-choluteca","prohibited_commercial_claim","error","evaluación gratuita","5d1cc1ba0adcf2e7","ded26629f57187cb","automatic","OPEN"
"staging","blog_posts","8bf8f0e5-f9d3-4968-8427-08f62f0a7ed4","body","/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras","prohibited_commercial_claim","error","consulta inicial gratuita","4b7c9c10e9b8943a","6b6bfe26af189fe2","automatic","OPEN"
"staging","blog_posts","36c1a6f4-02fe-4e9b-9961-13106651eca7","body","/blog/noticias-legales/reformas-legales-recientes-honduras","prohibited_commercial_claim","error","consulta gratuita","60ff872763e8a45d","346471b6491dc710","automatic","OPEN"
"staging","blog_posts","144fca07-d41a-4744-9a3b-1ee89ed39b78","body","/blog/practica-legal/tramites-legales-nacaome","prohibited_commercial_claim","error","evaluación inicial gratuita","4311324f6aa65ceb","3edfe66b8bba3aa8","automatic","OPEN"
