"priority","article","area","current_signature","current_review_origin","proposed_signature_type","proposed_signer","content_changed","new_claims","legal_risk","review_packet","signature_status"
"P3","devolucion-impuestos-como-solicitarla-honduras","tributario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","tarjetas-credito-intereses-cargos-defensa-honduras","derecho-bancario","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","registro-medicamentos-productos-farmaceuticos-honduras","regulacion-sanitaria","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","Pineda y Asociados","firm_historical_review","lawyer","Emil Barahona","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","registro-sanitario-alimentos-arsa-paso-a-paso-honduras","regulacion-sanitaria","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P2","arraigo-social-laboral-hondurenos-espana","hondurenos-en-espana","Pineda y Asociados","firm_historical_review","lawyer","Thania Marlene Paz","false","0","HISTORICAL_REVIEW_CONFIRMED","","READY_FOR_INDIVIDUAL_SIGNATURE"
"P3","pineda-asociados-bufete-multidisciplinario-honduras","practica-legal","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","zonas-libres-zoli-beneficios-fiscales-honduras","derecho-aduanero","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","habilitacion-clinicas-hospitales","regulacion-sanitaria","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
"P3","reformas-legales-recientes-honduras","noticias-legales","Pineda y Asociados","firm_historical_review","firm","","false","0","HISTORICAL_REVIEW_CONFIRMED","","FIRM_SIGNATURE_VALID"
