"dataset","query","impressions","clicks","ctr","position","action"
"gsc_opportunities","cuanto es la pensión alimenticia por hijo en honduras","171","7","4.09%","4.9","improve_title_meta"
"gsc_opportunities","sobreseimiento definitivo","139","1","0.72%","7.2","improve_title_meta"
"gsc_opportunities","nacionalidad de honduras","85","0","0.00%","10.4","improve_title_meta"
"gsc_opportunities","sobreseimiento provisional","55","0","0.00%","10.0","improve_title_meta"
"gsc_opportunities","nacionalidad hondureña","51","1","1.96%","9.7","improve_title_meta"
"gsc_opportunities","pension alimenticia","48","0","0.00%","9.5","improve_title_meta"
"gsc_opportunities","que es habeas corpus en honduras","46","0","0.00%","10.3","improve_title_meta"
"gsc_opportunities","tipos de divorcio en honduras","45","0","0.00%","10.4","improve_title_meta"
"gsc_opportunities","querella en honduras","44","1","2.27%","6.8","improve_title_meta"
"gsc_opportunities","competencia desleal en honduras","39","5","12.82%","7.1","improve_title_meta"
"gsc_opportunities","pension alimenticia honduras","39","0","0.00%","8.5","improve_title_meta"
"gsc_opportunities","demanda por daños y perjuicios honduras","38","2","5.26%","7.5","improve_title_meta"
"gsc_opportunities","ley de expropiación forzosa honduras","38","1","2.63%","8.6","improve_title_meta"
"gsc_opportunities","daños y perjuicios","38","0","0.00%","5.0","improve_title_meta"
"gsc_opportunities","nacionalidad honduras","36","0","0.00%","8.8","improve_title_meta"
"gsc_opportunities","que es sobreseimiento definitivo","36","0","0.00%","9.9","improve_title_meta"
"gsc_opportunities","honduras nacionalidad","34","0","0.00%","8.7","improve_title_meta"
"gsc_opportunities","cuando prescribe una deuda en honduras","33","1","3.03%","4.6","improve_title_meta"
"gsc_opportunities","delito de estafa en honduras","33","0","0.00%","9.2","improve_title_meta"
"gsc_opportunities","que es una querella en honduras","29","0","0.00%","4.9","improve_title_meta"
"gsc_opportunities","cuando prescribe una deuda de tarjeta de crédito en honduras","26","0","0.00%","4.2","improve_title_meta"
"gsc_opportunities","que significa sobreseimiento definitivo","26","0","0.00%","10.0","improve_title_meta"
"gsc_opportunities","habeas corpus honduras","23","1","4.35%","10.6","improve_title_meta"
"gsc_opportunities","sobreseimiento provisional honduras","22","1","4.55%","5.7","improve_title_meta"
"gsc_opportunities","sobreseimiento definitivo honduras","22","0","0.00%","4.2","improve_title_meta"
"gsc_opportunities","cuanto es la manutención por hijo en honduras","21","1","4.76%","4.2","improve_title_meta"
"gsc_opportunities","cauca honduras","21","0","0.00%","7.3","improve_title_meta"
