# property=https://www.pinedayasociadoshn.com/
# extracted_at=2026-07-28T17:55:59.285Z
# range=..
# timezone=America/Tegucigalpa
# dimensions=query,page
# rows=467
# nacaome_commercial_owner=https://www.pinedayasociadoshn.com/
# nacaome_office_page=https://www.pinedayasociadoshn.com/abogados-en-nacaome (secondary operational intent)
# nacaome_informational_owner=https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-nacaome
query,page,clicks,impressions,ctr,position
cuanto es la pensión alimenticia por hijo en honduras,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026,5,105,0.0476,4.13
sobreseimiento definitivo,https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional-diferencias-honduras,0,91,0.0000,7.65
cuanto es la manutencion de un hijo en honduras,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026,3,55,0.0545,3.49
que es habeas corpus en honduras,https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras,0,43,0.0000,10.44
nacionalidad de honduras,https://www.pinedayasociadoshn.com/blog/extranjeria-migracion/naturalizacion-obtener-nacionalidad-hondurena,0,42,0.0000,10.40
competencia desleal en honduras,https://www.pinedayasociadoshn.com/blog/derecho-mercantil/competencia-desleal-como-denunciar-honduras,5,38,0.1316,7.13
sobreseimiento provisional,https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional-diferencias-honduras,0,33,0.0000,10.94
que es sobreseimiento definitivo,https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional-diferencias-honduras,0,31,0.0000,10.32
tipos de divorcio en honduras,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa,0,29,0.0000,10.62
porcentaje de pensión alimenticia por 2 hijos en honduras,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa,0,28,0.0000,7.75
ley de expropiación forzosa honduras,https://www.pinedayasociadoshn.com/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras,1,26,0.0385,9.27
querella en honduras,https://www.pinedayasociadoshn.com/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras,1,26,0.0385,8.58
