"url","service_link","author_link","cluster_links","official_sources","cta","broken_links","generic_anchors","action","status"
"/blog/tributario/devolucion-impuestos-como-solicitarla-honduras","yes","yes","1","1","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/regulacion-sanitaria/registro-medicamentos-productos-farmaceuticos-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/regulacion-sanitaria/registro-sanitario-alimentos-arsa-paso-a-paso-honduras","yes","yes","4","1","yes","0","0","NONE","PASS"
"/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/noticias-legales/reformas-legales-recientes-honduras","yes","yes","6","0","yes","0","0","NONE","PASS"
"/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/extranjeria-migracion/naturalizacion-nacionalidad-hondurena","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-bancario/creditos-reestructuracion-deudas","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/tributario/defensa-sar-choluteca","yes","yes","6","0","yes","0","0","NONE","PASS"
"/blog/conciliacion-arbitraje/centro-conciliacion-arbitraje-ccic","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derecho-aduanero/codigo-aduanero-centroamericano","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/derecho-administrativo/contratacion-publica-licitaciones","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-civil/abogado-civil-choluteca","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-de-familia/pension-alimenticia-choluteca","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/extranjeria-migracion/residencia-temporal-requisitos-plazos-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derecho-penal/cuando-prescribe-delito-en-honduras","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/proceso-penal/sobreseimiento-definitivo-provisional","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derechos-ciudadanos/proteccion-datos-personales-derechos-arco-honduras","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/propiedad-intelectual/derechos-de-autor-proteccion-registro-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/derecho-bancario/ejecucion-hipotecaria-honduras-que-hacer","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/derecho-de-familia/abogado-familia-choluteca","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/tributario/impuestos-pequenas-empresas-guia-basica-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-mercantil/incumplimiento-contrato-comercial-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/propiedad-intelectual/proteccion-marcas-competencia-desleal","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/extranjeria-migracion/refugio-asilo-solicitarlo","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-civil/reclamar-deuda-legalmente-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/practica-legal/como-elegir-abogado-honduras","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/tributario/isv-impuesto-venta-tasas-obligaciones-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-ambiental/evaluacion-impacto-ambiental-honduras","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/derecho-laboral/contratos-trabajo-tipos-clausulas-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/derecho-aduanero/importaciones-san-lorenzo","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-penal/abogado-penalista-sur-honduras","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-aduanero/importar-mercancias-guia-aduanera","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/conciliacion-arbitraje/arbitraje-honduras-guia-completa","yes","yes","3","0","yes","0","0","NONE","PASS"
"/blog/derecho-mercantil/contratos-franquicia-aspectos","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-laboral/riesgos-profesionales-accidentes","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-mercantil/abogado-empresas-san-lorenzo","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-bancario/derechos-consumidor-financiero-honduras-cnbs","yes","yes","2","0","yes","0","0","NONE","PASS"
"/blog/derecho-civil/cobro-deudas-choluteca","yes","yes","6","0","yes","0","0","NONE","PASS"
"/blog/tributario/facturacion-electronica-requisitos-sar","yes","yes","0","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-de-familia/adopcion-requisitos-proceso-honduras","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/hondurenos-en-espana/reagrupacion-familiar-hondurenos-espana","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras","yes","yes","4","0","yes","0","0","NONE","PASS"
"/blog/derecho-ambiental/delitos-ambientales-como-denunciarlos-honduras","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/derecho-penal/violencia-domestica-ruta-legal-honduras","yes","yes","5","0","yes","0","0","NONE","PASS"
"/blog/derecho-bancario/central-riesgos-honduras-consultar-impugnar","yes","yes","1","0","yes","0","0","REVIEW_LINKS_AND_SOURCES","ACTION_REQUIRED"
"/blog/practica-legal/costos-honorarios-abogados-como-funcionan-honduras","yes","yes","3","0","yes","0","0","NONE","PASS"
