"priority","article","area","author_proposed","reviewer_proposed","change_type","claims_count","sources_count","gsc_impressions","gsc_clicks","risk","review_packet","status"
"1","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-porcentaje-honduras-2026","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","7","0","306","15","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"2","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","145","1","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"3","https://www.pinedayasociadoshn.com/blog/derecho-civil/prescripcion-deudas-plazos-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","86","2","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"4","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","82","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"5","https://www.pinedayasociadoshn.com/blog/derecho-civil/danos-perjuicios-indemnizacion-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","80","3","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"6","https://www.pinedayasociadoshn.com/blog/derecho-penal/diferencia-denuncia-querella-acusacion-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","53","1","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"7","https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","28","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"8","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","21","1","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"9","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-como-solicitarla","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","3","0","20","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"10","https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","15","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"11","https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","14","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"12","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-prescribe-delito-en-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","8","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"13","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","7","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"14","https://www.pinedayasociadoshn.com/blog/derecho-penal/que-hacer-si-me-detienen-en-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","6","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"15","https://www.pinedayasociadoshn.com/blog/derecho-penal/antejuicio-en-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","5","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"16","https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-menores-edad-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","3","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"17","https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","4","0","3","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"18","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","2","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"19","https://www.pinedayasociadoshn.com/blog/derecho-civil/cobro-deudas-choluteca","derecho-civil","Thania Marlene Paz","Emil Barahona","READY_FOR_LAWYER_REVIEW","6","1","2","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"20","https://www.pinedayasociadoshn.com/blog/derecho-penal/fianza-medidas-cautelares-proceso-penal-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","2","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"21","https://www.pinedayasociadoshn.com/blog/derecho-civil/clausulas-abusivas-contratos-como-detectar-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","1","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"22","https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-arrendamiento-derechos-obligaciones-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","CONTENT_REWRITE_REQUIRED","3","0","1","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"23","https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"24","https://www.pinedayasociadoshn.com/blog/derecho-civil/contratos-civiles-honduras-errores-comunes","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"25","https://www.pinedayasociadoshn.com/blog/derecho-civil/abogado-civil-choluteca","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","3","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"26","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-choluteca","derecho-de-familia","Thania Marlene Paz","Emil Barahona","CONTENT_REWRITE_REQUIRED","3","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"27","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/guarda-custodia-menores-tipos-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","CONTENT_REWRITE_REQUIRED","3","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"28","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/abogado-familia-choluteca","derecho-de-familia","Thania Marlene Paz","Emil Barahona","READY_FOR_LAWYER_REVIEW","5","1","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"29","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-calcular-reclamar-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"30","https://www.pinedayasociadoshn.com/blog/derecho-civil/testamentos-sucesiones-herencia-honduras","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"31","https://www.pinedayasociadoshn.com/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","7","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"32","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-derechos","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","6","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"33","https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-trabajo-tipos-clausulas-honduras","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"34","https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-sur-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","READY_FOR_LAWYER_REVIEW","5","3","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
"35","https://www.pinedayasociadoshn.com/blog/derecho-laboral/riesgos-profesionales-accidentes","derecho-laboral","Emil Barahona","Thania Marlene Paz","DOCUMENTARY_REVIEW_READY","7","0","0","0","HIGH","docs/seo/review-packets/laboral/batch-01.md","lawyer_review_pending"
"36","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/problemas-legales-familiares-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"37","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/adopcion-requisitos-proceso-honduras","derecho-de-familia","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","4","0","0","0","HIGH","docs/seo/review-packets/familia/batch-01.md","lawyer_review_pending"
"38","https://www.pinedayasociadoshn.com/blog/derecho-civil/herencias-honduras-fallece-familiar","derecho-civil","Thania Marlene Paz","Emil Barahona","DOCUMENTARY_REVIEW_READY","6","0","0","0","HIGH","docs/seo/review-packets/civil/batch-01.md","lawyer_review_pending"
"39","https://www.pinedayasociadoshn.com/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras","derecho-penal","Danilo Pineda Maradiaga","Emil Barahona","DOCUMENTARY_REVIEW_READY","5","0","0","0","HIGH","docs/seo/review-packets/penal/batch-01.md","lawyer_review_pending"
