slug,category,title,currentAuthor,assignedAuthor,assignedReviewer,notes
abogado-aduanero-san-lorenzo,derecho-aduanero,Abogado Aduanero en San Lorenzo,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
codigo-aduanero-centroamericano,derecho-aduanero,CAUCA en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
guia-aduanera-importaciones-honduras,derecho-aduanero,Importaciones en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
importaciones-san-lorenzo,derecho-aduanero,Importaciones en San Lorenzo,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
importar-china-guia-aduanera,derecho-aduanero,Importar desde China a Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
importar-mercancias-guia-aduanera,derecho-aduanero,Guía completa para importar a Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
zonas-libres-zoli-beneficios-fiscales-honduras,derecho-aduanero,Zonas Libres en Honduras (ZOLI),Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área aduanera sin responsable confirmado
delitos-ambientales-como-denunciarlos-honduras,derecho-ambiental,Delitos ambientales en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área ambiental sin responsable confirmado
derecho-ambiental-honduras,derecho-ambiental,Derecho Ambiental en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área ambiental sin responsable confirmado
derechos-indigenas-consulta-previa-honduras,derecho-ambiental,Guía completa de derechos indígenas,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área ambiental sin responsable confirmado
evaluacion-impacto-ambiental-honduras,derecho-ambiental,Evaluación de Impacto Ambiental,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área ambiental sin responsable confirmado
licencia-ambiental-categorias-plazos-honduras,derecho-ambiental,Licencia Ambiental en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área ambiental sin responsable confirmado
banco-demanda-deuda-defensa-opciones-honduras,derecho-bancario,Demanda Bancaria en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
central-riesgos-honduras-consultar-impugnar,derecho-bancario,Central de Riesgos en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
creditos-reestructuracion-deudas,derecho-bancario,Reestructuración de Deuda,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
derechos-consumidor-financiero-honduras-cnbs,derecho-bancario,Derechos del consumidor financiero,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
ejecucion-hipotecaria-honduras-que-hacer,derecho-bancario,Ejecución hipotecaria,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
tarjetas-credito-intereses-cargos-defensa-honduras,derecho-bancario,Tarjetas de Crédito en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Área bancaria sin responsable confirmado
contratos-confidencialidad-nda-secreto-comercial-honduras,propiedad-intelectual,Contratos de confidencialidad (NDA),Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,PI sin responsable confirmado
derechos-de-autor-proteccion-registro-honduras,propiedad-intelectual,Derechos de Autor en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,PI sin responsable confirmado
patentes-requisitos-proceso-solicitud-honduras,propiedad-intelectual,Patentes en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,PI sin responsable confirmado
proteccion-marcas-competencia-desleal,propiedad-intelectual,Protección de Marcas,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,PI sin responsable confirmado
registrar-marca-honduras-paso-a-paso,propiedad-intelectual,Registrar una Marca en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,PI sin responsable confirmado
habilitacion-clinicas-hospitales,regulacion-sanitaria,Licencia Sanitaria en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Sanitaria sin responsable confirmado
registro-medicamentos-productos-farmaceuticos-honduras,regulacion-sanitaria,Registro de medicamentos en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Sanitaria sin responsable confirmado
registro-sanitario-alimentos-arsa-paso-a-paso-honduras,regulacion-sanitaria,Registro Sanitario de Alimentos,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Sanitaria sin responsable confirmado
responsabilidad-medica-mala-praxis-honduras,regulacion-sanitaria,Mala Praxis Médica,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Sanitaria sin responsable confirmado
defensa-sar-choluteca,tributario,Defensa ante el SAR en Choluteca,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
devolucion-impuestos-como-solicitarla-honduras,tributario,Devolución de impuestos,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
facturacion-electronica-requisitos-sar,tributario,Facturación Electrónica en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
impuesto-renta-personas-fisicas-honduras,tributario,ISR para Personas Físicas,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
impuestos-pequenas-empresas-guia-basica-honduras,tributario,Impuestos para Pequeñas Empresas,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
isv-impuesto-venta-tasas-obligaciones-honduras,tributario,ISV en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
sar-notifica-fiscalizacion-que-hacer-honduras,tributario,Fiscalización del SAR,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Tributario sin responsable confirmado
naturalizacion-nacionalidad-hondurena,extranjeria-migracion,Naturalización en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Extranjería sin responsable confirmado
permiso-trabajo-extranjeros-honduras,extranjeria-migracion,Permiso de Trabajo en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Extranjería sin responsable confirmado
refugio-asilo-solicitarlo,extranjeria-migracion,Refugio y Asilo en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Extranjería sin responsable confirmado
residencia-temporal-requisitos-plazos-honduras,extranjeria-migracion,Residencia Temporal en Honduras,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Extranjería sin responsable confirmado
visas-inversion-rentista-pensionado,extranjeria-migracion,Guía de Visas de Inversión,Pineda y Asociados,REQUIRES_HUMAN_ASSIGNMENT,,Extranjería sin responsable confirmado
