"entity","property","schema_value","visible_equivalent","source","confirmed","conditional","removed","reason","result"
"Organization","foundingDate","2010","Fundado en 2010","Confirmación titular","true","false","false","Claim institucional confirmado","PASS"
"Organization","founder","Danilo; Thania","Fundadores visibles","LAWYER_PROFILES","true","false","false","Identidades canónicas","PASS"
"Organization","sameAs","[""https://www.facebook.com/profile.php"",""https://maps.app.goo.gl/xqbpe5n5ufXkH4ff6""]","Perfiles corporativos","site.social + Google Business","true","true","false","X personal excluido","PASS"
"LegalService","priceRange","OMITTED","Sin equivalente visible","Sin evidencia","false","false","true","Propiedad opcional no confirmada","PASS"
"LegalService","paymentAccepted","OMITTED","Sin equivalente visible","Sin evidencia","false","false","true","Propiedad opcional no confirmada","PASS"
"LegalService","currenciesAccepted","OMITTED","Sin equivalente visible","Sin evidencia","false","false","true","Propiedad opcional no confirmada","PASS"
"LegalService","numberOfEmployees","OMITTED","Sin equivalente visible","Sin evidencia","false","false","true","Propiedad opcional no confirmada","PASS"
"LegalService","areaServed","[{""@type"":""City"",""name"":""Nacaome""},{""@type"":""City"",""name"":""San Lorenzo""},{""@type"":""City"",""name"":""Choluteca""},{""@type"":""City"",""name"":""Goascorán""},{""@type"":""City"",""name"":""San Marcos de Colón""},{""@type"":""City"",""name"":""El Triunfo""},{""@type"":""City"",""name"":""Marcovia""},{""@type"":""City"",""name"":""Pespire""},{""@type"":""City"",""name"":""Namasigüe""},{""@type"":""City"",""name"":""Orocuina""},{""@type"":""City"",""name"":""Langue""},{""@type"":""City"",""name"":""Amapala""},{""@type"":""AdministrativeArea"",""name"":""Valle""},{""@type"":""Country"",""name"":""Honduras""}]","Cobertura geográfica pública","Landings y configuración local","true","false","false","No implica oficina","PASS"
"LegalService","employee","[{""@id"":""https://www.pinedayasociadoshn.com/#danilo-pineda-maradiaga""},{""@id"":""https://www.pinedayasociadoshn.com/#thania""},{""@id"":""https://www.pinedayasociadoshn.com/#emil""}]","Tres perfiles públicos","LAWYER_PROFILES","true","false","false","No implica plantilla total","PASS"
"LegalService","hasOfferCatalog","14","14","PUBLIC_SERVICE_CATALOG","true","false","false","Paridad completa","PASS"
"Person","sameAs","[""https://x.com/Danilo_Pineda_M""]","Perfiles personales configurados","Variables públicas condicionales","true","true","false","Entidad personal","PASS"
"Person","sameAs","[]","Perfiles personales configurados","Variables públicas condicionales","true","true","false","Entidad personal","PASS"
"Person","sameAs","[]","Perfiles personales configurados","Variables públicas condicionales","true","true","false","Entidad personal","PASS"
"Person","knowsAbout","[""Derecho Penal"",""Derecho Procesal Penal"",""Derecho de Familia"",""Derecho Laboral"",""Derecho Civil y Notarial"",""Derecho Mercantil y Empresarial"",""Código Penal Decreto 130-2017 de Honduras y reformas vigentes (119-2019, 46-2020, 93-2021, 59-2024)""]","Áreas visibles del perfil","LAWYER_PROFILES","true","false","false","No copia catálogo completo","PASS"
"Person","knowsAbout","[""Derecho Administrativo y Servicio Civil"",""Derecho de Familia"",""Derecho Civil y Notarial"",""Derecho Mercantil y Empresarial""]","Áreas visibles del perfil","LAWYER_PROFILES","true","false","false","No copia catálogo completo","PASS"
"Person","knowsAbout","[""Derecho Laboral"",""Derecho Penal"",""Derecho Civil y Notarial""]","Áreas visibles del perfil","LAWYER_PROFILES","true","false","false","No copia catálogo completo","PASS"
"Person","hasCredential","false","CAH condicional","NEXT_PUBLIC_CAH_*","true","true","false","Solo si configurado","PASS"
"Person","hasCredential","false","CAH condicional","NEXT_PUBLIC_CAH_*","true","true","false","Solo si configurado","PASS"
"Person","hasCredential","false","CAH condicional","NEXT_PUBLIC_CAH_*","true","true","false","Solo si configurado","PASS"
