url,slug,category,gsc_evidence,current_title,current_meta,current_h1,classification,approved_title,approved_meta,reason,legal_notes
https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras,empleador-no-paga-salario-honduras,derecho-laboral,"clicks=0 imp=201 ctr=0% pos=10.8","Despido Injustificado en Honduras: Prestaciones y Plazos","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","Despido Injustificado en Honduras: Prestaciones y Plazos",APPROVED_TITLE_META_H1,"No me paga el salario en Honduras: qué hacer y reclamar","Qué hacer si su empleador no le paga el salario en Honduras: comprobantes que conservar, reclamación ante la autoridad laboral y vías para cobrar lo adeudado.","Title actual desalineado (habla de despido injustificado) frente a la URL/consulta ""no paga salario"". Se alinea title/meta/H1 al hecho real sin promesas ni cifras.","METADATA_ONLY: sin cifras nuevas. ""Reclamación ante la autoridad laboral"" es genérico y ya está en el body. No se añaden artículos ni montos."
https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras,cuando-necesito-abogado-penalista-honduras,derecho-penal,"clicks=0 imp=48 ctr=0% pos=11","¿Cuándo necesita un abogado penalista en Honduras?","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","¿Cuándo necesita un abogado penalista en Honduras?",NO_CHANGE,"¿Cuándo necesita un abogado penalista en Honduras?","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","Datos muy bajos (48 impresiones). Title/meta actuales de calidad. El cambio propuesto (1ª persona ""necesito"") no aporta beneficio claro. Se excluye del lote.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derecho-de-peticion-instituciones-honduras,derecho-de-peticion-instituciones-honduras,derechos-ciudadanos,"clicks=0 imp=87 ctr=0% pos=8.8","Derecho de Petición Honduras: Guía Completa","Conozca el Derecho de Petición en Honduras, Artículo 80 Constitución, plazos y cómo ejercerlo ante autoridades. ¡Obtenga respuesta!","Derecho de Petición en Honduras",APPROVED_TITLE_META_H1,"Derecho de petición en Honduras: cómo ejercerlo","El derecho de petición (art. 80 de la Constitución) permite dirigirse a instituciones en Honduras: cómo presentarlo y qué hacer si no responde.","Title actual (""Guía Completa"") y meta con ""¡Obtenga respuesta!"" (promocional). Se normaliza y se mantiene la base constitucional ya citada en el body.","Art. 80 de la Constitución: ya presente en la meta y el body actuales (restatement, no claim nuevo)."
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa,divorcio-honduras-guia-completa,derecho-de-familia,"clicks=7 imp=1286 ctr=0.54% pos=10.4","Divorcio en Honduras: vías, requisitos y plazos","Compare las vías de divorcio en Honduras, sus requisitos, documentos, plazos y las decisiones sobre hijos, alimentos y patrimonio.","Divorcio en Honduras: 3 vías, requisitos y plazos",NO_CHANGE,"Divorcio en Honduras: vías, requisitos y plazos","Compare las vías de divorcio en Honduras, sus requisitos, documentos, plazos y las decisiones sobre hijos, alimentos y patrimonio.","Title/meta actuales de calidad (""vías, requisitos y plazos"", H1 ""3 vías""). Se rechaza ""tipos... (2026)"": ""vías"" coincide con el H1 del body y ""2026"" no está verificado. CTR bajo a posición 10 se explica por competencia SERP, no por metadata.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras,estafas-fraudes-tipos-penales-honduras,derecho-penal,"clicks=16 imp=913 ctr=1.75% pos=9","Estafa en Honduras: Tipos, Denuncia y Defensa","Tipos de estafa según el Código Penal de Honduras, cómo denunciar y cuándo buscar defensa legal ante acusaciones por fraude.","Estafa en Honduras: Tipos, Denuncia y Defensa",APPROVED_TITLE_META_H1,"Estafa en Honduras: tipos, cómo denunciar y defensa","Tipos de estafa previstos en el Código Penal de Honduras, cómo presentar una denuncia y cuándo conviene defensa legal ante una acusación por fraude.","Se rechaza el ""penas"" propuesto (no verificado contra el CP). Se conserva tipos/denuncia/defensa ya soportados por el body.","METADATA_ONLY: sin cifras de penas. Referencia genérica al Código Penal ya presente en el body."
https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras,derechos-trabajadora-embarazada-honduras,derecho-laboral,"clicks=9 imp=557 ctr=1.62% pos=10","Despido por Embarazo en Honduras en Honduras (2026) | Abogad","¿La despidieron estando embarazada? El fuero maternal la protege en Honduras. Licencia de 10 semanas, lactancia y cómo demandar un despido ilegal.","Despido por Embarazo en Honduras",APPROVED_TITLE_META_H1,"Derechos de la trabajadora embarazada en Honduras","Qué protección tiene la trabajadora embarazada en Honduras durante el embarazo y la lactancia, y qué pasos seguir si la despiden por esa razón.","Title actual truncado con repetición ""en Honduras en Honduras"", ""(2026)"" no verificado y cola ""| Abogad"". Se reescribe limpio y sin cifras no verificadas.","METADATA_ONLY: se omiten cifras (semanas de licencia, porcentajes) que no pude verificar contra fuente oficial en esta intervención; el body las conserva intactas."
https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras,habeas-corpus-cuando-interponer-honduras,proceso-penal,"clicks=10 imp=447 ctr=2.24% pos=10.9","Hábeas Corpus Honduras: Cómo Interponer y Cuándo","Guía completa sobre el Hábeas Corpus en Honduras. Aprenda cómo interponerlo, cuándo procede y los plazos de 24 horas. Proteja su libertad.","Hábeas Corpus en Honduras: Cómo Interponerlo y Cuándo Procede",APPROVED_TITLE_META_H1,"Hábeas corpus en Honduras: cuándo y cómo interponerlo","En qué casos procede el hábeas corpus en Honduras y cómo presentarlo: requisitos, ante quién se interpone y diferencias con otras vías.","Se elimina ""Proteja su libertad"" (promesa) y el plazo de 24 h de la meta (no verificado en esta intervención). Título alineado a cuándo/cómo interponer.","METADATA_ONLY: se retira la cifra de 24 h de la meta; el body no se modifica y conserva su contenido."
https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez,custodia-hijos-honduras-juez,derecho-de-familia,"clicks=24 imp=1293 ctr=1.86% pos=7.5","Custodia de Hijos en Honduras: Criterios del Juez","Criterios que el juez evalúa en procesos de custodia en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","Custodia de Hijos en Honduras: Criterios del Juez",APPROVED_TITLE_META_H1,"Custodia de hijos en Honduras: qué evalúa el juez","Criterios que el juez considera en la custodia de hijos en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","Refuerza la intención de búsqueda (""qué decide/considera el juez"") manteniendo los criterios ya cubiertos en el body.","METADATA_ONLY: ""interés superior del menor"" es principio general ya presente en el body; sin cifras."
https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita,poder-legal-honduras-cuando-se-necesita,derecho-notarial,"clicks=37 imp=2205 ctr=1.68% pos=5.5","Poder notarial en Honduras: tipos, alcance y requisitos","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","Poder notarial en Honduras: tipos, alcance y requisitos",NO_CHANGE,"Poder notarial en Honduras: tipos, alcance y requisitos","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","El término jurídico correcto es ""poder notarial"" (no ""poder legal""). El title actual es preciso y el body cubre tipos/alcance/requisitos. No se sacrifica precisión legal por match de query.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras,licencia-ambiental-categorias-plazos-honduras,derecho-ambiental,"clicks=6 imp=367 ctr=1.63% pos=9.6","Licencia Ambiental Honduras: Guía Completa 2024","Obtenga su Licencia Ambiental en Honduras. Conozca los requisitos, el marco legal (Ley General del Ambiente, SINEIA, Acuerdo Ejecutivo No. 008-2015) y el","Licencia Ambiental en Honduras",APPROVED_TITLE_META_H1,"Licencia ambiental en Honduras: categorías y plazos","Categorías y plazos de la licencia ambiental en Honduras según la Ley General del Ambiente y el SINEIA, y requisitos del trámite.","Title actual con ""Guía Completa 2024"" (año no verificado). Se normaliza a categorías/plazos (slug) manteniendo el marco legal ya citado.","Ley General del Ambiente/SINEIA ya presentes en el body (restatement). Sin plazos numéricos nuevos en la meta."
https://www.pinedayasociadoshn.com/blog/proceso-penal/juicio-oral-etapas-que-esperar-honduras,juicio-oral-etapas-que-esperar-honduras,proceso-penal,"clicks=4 imp=155 ctr=2.58% pos=9.8","Juicio oral en Honduras: etapas y preparación","Conozca la apertura, presentación de pruebas, conclusiones, deliberación y sentencia en un juicio oral penal en Honduras.","Juicio oral en Honduras: etapas y preparación",APPROVED_METADATA_ONLY,"Juicio oral en Honduras: etapas y qué esperar","Etapas del juicio oral penal en Honduras: apertura, pruebas, conclusiones, deliberación y sentencia, y cómo prepararse.","Alinea title de SERP a la consulta (""qué esperar"") sin tocar el H1 actual (""etapas y preparación""), ya válido.","METADATA_ONLY: restatement de etapas ya presentes en el body."
https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa,despido-laboral-honduras-guia-completa,derecho-laboral,"clicks=4 imp=304 ctr=1.32% pos=11.4","Despido Injustificado en Honduras: Prestaciones y Plazos","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","Despido Injustificado en Honduras: Prestaciones y Plazos",NO_CHANGE,"Despido Injustificado en Honduras: Prestaciones y Plazos","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","Title actual alineado con la URL (despido laboral/injustificado). El problema de títulos duplicados se resuelve al corregir ""empleador-no-paga-salario"". Sin cambios aquí.","Sin cambios."
https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/nacionalidad-espanola-para-hondurenos-residencia-plazos,nacionalidad-espanola-para-hondurenos-residencia-plazos,hondurenos-en-espana,"clicks=1 imp=398 ctr=0.25% pos=8","Nacionalidad Española para Hondureños | Pineda y Asociados","Obtenga la nacionalidad española residiendo en España. Conozca los plazos reducidos (2 años) para hondureños, requisitos y proceso. ¡Consulte a expertos!","Nacionalidad española para hondureños",APPROVED_TITLE_META,"Nacionalidad española para hondureños: requisitos y plazos","Requisitos y proceso para que un hondureño obtenga la nacionalidad española por residencia: documentación, pasos del trámite y plazos.","Title actual con marca y meta con ""Obtenga...""/""¡Consulte a expertos!"" (promocional). Se limpia sin introducir la cifra de 2 años en la meta.","METADATA_ONLY: se omite ""2 años"" de la meta (cifra no verificada en esta intervención); el body la conserva."
https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras,reclamar-deuda-legalmente-honduras,derecho-civil,"clicks=13 imp=667 ctr=1.95% pos=8","Cómo Cobrar una Deuda en Honduras | Pineda y Asociados","Descubra cómo reclamar una deuda legalmente en Honduras. Conozca el proceso monitorio, juicio ejecutivo, requisitos y plazos de prescripción según la ley.","Cómo reclamar una deuda legalmente en Honduras",APPROVED_TITLE_META,"Cómo reclamar una deuda legalmente en Honduras","Vías legales para reclamar una deuda en Honduras: requerimiento, proceso monitorio o juicio ejecutivo, requisitos y plazos de prescripción.","Title actual ""Cómo Cobrar una Deuda en Honduras | Pineda y Asociados"": marca desperdicia caracteres y ""Cobrar"" vs slug ""reclamar"". Se alinea a la intención.","METADATA_ONLY: proceso monitorio/juicio ejecutivo/plazos de prescripción ya presentes en la meta y el body actuales (restatement)."
https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-menores-edad-honduras,defensa-penal-menores-edad-honduras,derecho-penal,"clicks=1 imp=102 ctr=0.98% pos=10.3","Defensa Penal Juvenil Honduras | Pineda y Asociados","Conozca el sistema de defensa penal juvenil en Honduras para menores de 18 años. Principios, medidas y diferencias con el sistema de adultos.","Defensa Penal Juvenil en Honduras: Guía Completa",APPROVED_TITLE_META_H1,"Defensa penal juvenil en Honduras: proceso y derechos","Cómo funciona la defensa penal de menores de 18 años en Honduras: principios, medidas aplicables y diferencias con el sistema de adultos.","Title actual con marca ""| Pineda y Asociados"" que desperdicia caracteres. Se elimina marca y se alinea a proceso/derechos ya cubiertos.","METADATA_ONLY: restatement de principios ya presentes en el body; sin cifras."
