url,baseline_date,title_before,clicks_28_before,impressions_28_before,ctr_before,position_before,sessions_before,key_events_before,conversion_rate_before,title_after,meta_after,h1_after,content_changes,internal_links_changes,cta_changes,published_commit,measurement_start,measurement_end
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras","2026-08-03","","clicks=0 imp=201 ctr=0% pos=10.8","","clicks=0 imp=201 ctr=0% pos=10.8","clicks=0 imp=201 ctr=0% pos=10.8","sessions=0","","","No me paga el salario en Honduras: qué hacer y reclamar","Qué hacer si su empleador no le paga el salario en Honduras: comprobantes que conservar, reclamación ante la autoridad laboral y vías para cobrar lo adeudado.","No me paga el salario en Honduras: qué hacer y reclamar","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","2026-08-03","","clicks=0 imp=48 ctr=0% pos=11","","clicks=0 imp=48 ctr=0% pos=11","clicks=0 imp=48 ctr=0% pos=11","sessions=0","","","","","","NO_CHANGE (diferido)","ninguno","ninguno","","",""
"https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derecho-de-peticion-instituciones-honduras","2026-08-03","","clicks=0 imp=87 ctr=0% pos=8.8","","clicks=0 imp=87 ctr=0% pos=8.8","clicks=0 imp=87 ctr=0% pos=8.8","sessions=0","","","Derecho de petición en Honduras: cómo ejercerlo","El derecho de petición (art. 80 de la Constitución) permite dirigirse a instituciones en Honduras: cómo presentarlo y qué hacer si no responde.","Derecho de petición en Honduras: cómo ejercerlo","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa","2026-08-03","","clicks=7 imp=1286 ctr=0.54% pos=10.4","","clicks=7 imp=1286 ctr=0.54% pos=10.4","clicks=7 imp=1286 ctr=0.54% pos=10.4","sessions=0","","","","","","NO_CHANGE (diferido)","ninguno","ninguno","","",""
"https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","2026-08-03","","clicks=16 imp=913 ctr=1.75% pos=9","","clicks=16 imp=913 ctr=1.75% pos=9","clicks=16 imp=913 ctr=1.75% pos=9","sessions=0","","","Estafa en Honduras: tipos, cómo denunciar y defensa","Tipos de estafa previstos en el Código Penal de Honduras, cómo presentar una denuncia y cuándo conviene defensa legal ante una acusación por fraude.","Estafa en Honduras: tipos, cómo denunciar y defensa","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras","2026-08-03","","clicks=9 imp=557 ctr=1.62% pos=10","","clicks=9 imp=557 ctr=1.62% pos=10","clicks=9 imp=557 ctr=1.62% pos=10","sessions=0","","","Derechos de la trabajadora embarazada en Honduras","Qué protección tiene la trabajadora embarazada en Honduras durante el embarazo y la lactancia, y qué pasos seguir si la despiden por esa razón.","Derechos de la trabajadora embarazada en Honduras","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","2026-08-03","","clicks=10 imp=447 ctr=2.24% pos=10.9","","clicks=10 imp=447 ctr=2.24% pos=10.9","clicks=10 imp=447 ctr=2.24% pos=10.9","sessions=0","","","Hábeas corpus en Honduras: cuándo y cómo interponerlo","En qué casos procede el hábeas corpus en Honduras y cómo presentarlo: requisitos, ante quién se interpone y diferencias con otras vías.","Hábeas corpus en Honduras: cuándo y cómo interponerlo","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","2026-08-03","","clicks=24 imp=1293 ctr=1.86% pos=7.5","","clicks=24 imp=1293 ctr=1.86% pos=7.5","clicks=24 imp=1293 ctr=1.86% pos=7.5","sessions=0","","","Custodia de hijos en Honduras: qué evalúa el juez","Criterios que el juez considera en la custodia de hijos en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","Custodia de hijos en Honduras: qué evalúa el juez","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","2026-08-03","","clicks=37 imp=2205 ctr=1.68% pos=5.5","","clicks=37 imp=2205 ctr=1.68% pos=5.5","clicks=37 imp=2205 ctr=1.68% pos=5.5","sessions=0","","","","","","NO_CHANGE (diferido)","ninguno","ninguno","","",""
"https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","2026-08-03","","clicks=6 imp=367 ctr=1.63% pos=9.6","","clicks=6 imp=367 ctr=1.63% pos=9.6","clicks=6 imp=367 ctr=1.63% pos=9.6","sessions=0","","","Licencia ambiental en Honduras: categorías y plazos","Categorías y plazos de la licencia ambiental en Honduras según la Ley General del Ambiente y el SINEIA, y requisitos del trámite.","Licencia ambiental en Honduras: categorías y plazos","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/proceso-penal/juicio-oral-etapas-que-esperar-honduras","2026-08-03","","clicks=4 imp=155 ctr=2.58% pos=9.8","","clicks=4 imp=155 ctr=2.58% pos=9.8","clicks=4 imp=155 ctr=2.58% pos=9.8","sessions=0","","","Juicio oral en Honduras: etapas y qué esperar","Etapas del juicio oral penal en Honduras: apertura, pruebas, conclusiones, deliberación y sentencia, y cómo prepararse.","sin cambio (h1 intacto)","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa","2026-08-03","","clicks=4 imp=304 ctr=1.32% pos=11.4","","clicks=4 imp=304 ctr=1.32% pos=11.4","clicks=4 imp=304 ctr=1.32% pos=11.4","sessions=0","","","","","","NO_CHANGE (diferido)","ninguno","ninguno","","",""
"https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/nacionalidad-espanola-para-hondurenos-residencia-plazos","2026-08-03","","clicks=1 imp=398 ctr=0.25% pos=8","","clicks=1 imp=398 ctr=0.25% pos=8","clicks=1 imp=398 ctr=0.25% pos=8","sessions=0","","","Nacionalidad española para hondureños: requisitos y plazos","Requisitos y proceso para que un hondureño obtenga la nacionalidad española por residencia: documentación, pasos del trámite y plazos.","sin cambio (h1 intacto)","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","2026-08-03","","clicks=13 imp=667 ctr=1.95% pos=8","","clicks=13 imp=667 ctr=1.95% pos=8","clicks=13 imp=667 ctr=1.95% pos=8","sessions=0","","","Cómo reclamar una deuda legalmente en Honduras","Vías legales para reclamar una deuda en Honduras: requerimiento, proceso monitorio o juicio ejecutivo, requisitos y plazos de prescripción.","sin cambio (h1 intacto)","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-menores-edad-honduras","2026-08-03","","clicks=1 imp=102 ctr=0.98% pos=10.3","","clicks=1 imp=102 ctr=0.98% pos=10.3","clicks=1 imp=102 ctr=0.98% pos=10.3","sessions=0","","","Defensa penal juvenil en Honduras: proceso y derechos","Cómo funciona la defensa penal de menores de 18 años en Honduras: principios, medidas aplicables y diferencias con el sistema de adultos.","Defensa penal juvenil en Honduras: proceso y derechos","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","2026-08-03","","clicks=33 imp=2618 ctr=1.26% pos=6.9","","clicks=33 imp=2618 ctr=1.26% pos=6.9","clicks=33 imp=2618 ctr=1.26% pos=6.9","sessions=0","","","","","","NO_CHANGE (diferido)","ninguno","ninguno","","",""
"https://www.pinedayasociadoshn.com/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","2026-08-03","","clicks=11 imp=271 ctr=4.06% pos=8.3","","clicks=11 imp=271 ctr=4.06% pos=8.3","clicks=11 imp=271 ctr=4.06% pos=8.3","sessions=0","","","Expropiación forzosa en Honduras: derechos del propietario","Qué es la expropiación forzosa por utilidad pública en Honduras y qué derechos tiene el propietario, incluido el justiprecio de su terreno.","sin cambio (h1 intacto)","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
"https://www.pinedayasociadoshn.com/blog/derecho-administrativo/contratacion-publica-licitaciones","2026-08-03","","clicks=2 imp=114 ctr=1.75% pos=10","","clicks=2 imp=114 ctr=1.75% pos=10","clicks=2 imp=114 ctr=1.75% pos=10","sessions=0","","","Contratación pública en Honduras: modalidades y requisitos","Cómo participar en la contratación pública de Honduras: modalidades, requisitos, garantías y documentación para proveedores del Estado.","sin cambio (h1 intacto)","metadata_only (title/metaTitle/metaDescription)","ninguno","ninguno","feat/seo-growth-batch1-editorial-apply","2026-08-04","2026-09-01"
