priority,url,query_cluster,intent,gsc_evidence,ga4_evidence,bing_evidence,current_problem,action,expected_effect,legal_review
"1","https://www.pinedayasociadoshn.com/blog/derecho-laboral/empleador-no-paga-salario-honduras","-","informacional","clicks=0 imp=201 ctr=0% pos=10.8","sessions=0","-","score=55 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"2","https://www.pinedayasociadoshn.com/blog/derecho-penal/cuando-necesito-abogado-penalista-honduras","-","informacional","clicks=0 imp=48 ctr=0% pos=11","sessions=0","-","score=50 (KEEP)","KEEP","mejor CTR/posición","lawyer_review_pending"
"3","https://www.pinedayasociadoshn.com/blog/derechos-ciudadanos/derecho-de-peticion-instituciones-honduras","-","informacional","clicks=0 imp=87 ctr=0% pos=8.8","sessions=0","-","score=49 (KEEP)","KEEP","mejor CTR/posición","lawyer_review_pending"
"4","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/divorcio-honduras-guia-completa","-","informacional","clicks=7 imp=1286 ctr=0.54% pos=10.4","sessions=0","-","score=46 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"5","https://www.pinedayasociadoshn.com/blog/derecho-penal/estafas-fraudes-tipos-penales-honduras","-","informacional","clicks=16 imp=913 ctr=1.75% pos=9","sessions=0","-","score=44 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"6","https://www.pinedayasociadoshn.com/blog/derecho-laboral/derechos-trabajadora-embarazada-honduras","-","informacional","clicks=9 imp=557 ctr=1.62% pos=10","sessions=0","-","score=44 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"7","https://www.pinedayasociadoshn.com/blog/proceso-penal/habeas-corpus-cuando-interponer-honduras","-","informacional","clicks=10 imp=447 ctr=2.24% pos=10.9","sessions=0","-","score=42 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"8","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/custodia-hijos-honduras-juez","-","informacional","clicks=24 imp=1293 ctr=1.86% pos=7.5","sessions=0","-","score=42 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"9","https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-legal-honduras-cuando-se-necesita","-","informacional","clicks=37 imp=2205 ctr=1.68% pos=5.5","sessions=0","-","score=41 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"10","https://www.pinedayasociadoshn.com/blog/derecho-ambiental/licencia-ambiental-categorias-plazos-honduras","-","informacional","clicks=6 imp=367 ctr=1.63% pos=9.6","sessions=0","-","score=40 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"11","https://www.pinedayasociadoshn.com/blog/proceso-penal/juicio-oral-etapas-que-esperar-honduras","-","informacional","clicks=4 imp=155 ctr=2.58% pos=9.8","sessions=0","-","score=40 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"12","https://www.pinedayasociadoshn.com/blog/derecho-laboral/despido-laboral-honduras-guia-completa","-","informacional","clicks=4 imp=304 ctr=1.32% pos=11.4","sessions=0","-","score=40 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"13","https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/nacionalidad-espanola-para-hondurenos-residencia-plazos","-","informacional","clicks=1 imp=398 ctr=0.25% pos=8","sessions=0","-","score=40 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"14","https://www.pinedayasociadoshn.com/blog/derecho-civil/reclamar-deuda-legalmente-honduras","-","informacional","clicks=13 imp=667 ctr=1.95% pos=8","sessions=0","-","score=39 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"15","https://www.pinedayasociadoshn.com/blog/derecho-penal/defensa-penal-menores-edad-honduras","-","informacional","clicks=1 imp=102 ctr=0.98% pos=10.3","sessions=0","-","score=38 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"16","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-honduras-guia-completa","porcentaje de pensión alimenticia por 2 hijos en honduras | cuanto es la manutencion de un hijo en honduras | cuanto es la pensión alimenticia por hijo en honduras","informacional","clicks=33 imp=2618 ctr=1.26% pos=6.9","sessions=0","-","score=38 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
"17","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/expropiacion-forzosa-derechos-propietario-honduras","-","informacional","clicks=11 imp=271 ctr=4.06% pos=8.3","sessions=0","-","score=37 (KEEP)","KEEP","mejor CTR/posición","lawyer_review_pending"
"18","https://www.pinedayasociadoshn.com/blog/derecho-administrativo/contratacion-publica-licitaciones","-","informacional","clicks=2 imp=114 ctr=1.75% pos=10","sessions=0","-","score=37 (UPDATE)","update_title_meta_h1","mejor CTR/posición","lawyer_review_pending"
