priority,url,query_cluster,score,gsc_clicks_90,gsc_impressions_90,gsc_ctr,gsc_position,bing_impressions,organic_sessions,key_events,conversion_rate,content_action,recommended_action
1,https://www.pinedayasociadoshn.com/blog/derecho-laboral/abogado-laboral-choluteca,,22,1,11,9.09,4,0,0,0,0,KEEP,KEEP
2,https://www.pinedayasociadoshn.com/blog/practica-legal/constituir-empresa-guia-paso-a-paso-honduras,,19,5,223,2.24,42.2,0,0,0,0,UPDATE,update_title_meta_h1
3,https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/responsabilidad-medica-mala-praxis-honduras,,18,10,130,7.69,22.5,0,0,0,0,UPDATE,update_title_meta_h1
4,https://www.pinedayasociadoshn.com/blog/derecho-penal/allanamiento-ilegal-violacion-domicilio-honduras,,17,1,49,2.04,0,0,0,0,0,KEEP,KEEP
5,https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/tributar-espana-bienes-guia,,17,1,47,2.13,0,0,0,0,0,KEEP,KEEP
6,https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/herencias-transfronterizas-bienes,,16,1,39,2.56,0,0,0,0,0,KEEP,KEEP
7,https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-empleadas-domesticas-obligaciones-honduras,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
8,https://www.pinedayasociadoshn.com/blog/hondurenos-en-espana/arraigo-social-laboral-hondurenos-espana,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
9,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/pension-alimenticia-choluteca,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
10,https://www.pinedayasociadoshn.com/blog/proceso-penal/sobreseimiento-definitivo-provisional,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
11,https://www.pinedayasociadoshn.com/blog/derecho-de-familia/abogado-familia-choluteca,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
12,https://www.pinedayasociadoshn.com/blog/derecho-penal/derechos-detenido-honduras-guia-constitucional,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
13,https://www.pinedayasociadoshn.com/blog/derecho-notarial/poder-notarial-honduras-tipos-requisitos,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
14,https://www.pinedayasociadoshn.com/blog/derecho-laboral/contratos-trabajo-tipos-clausulas-honduras,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
15,https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-sur-honduras,,1,0,0,0,0,0,0,0,0,DATA_REQUIRED,DATA_REQUIRED
