url,slug,gsc_evidence,current_title,current_meta,current_h1,classification,approved_title,approved_meta,reason,legal_notes
https://www.pinedayasociadoshn.com/blog/derecho-bancario/tarjetas-credito-intereses-cargos-defensa-honduras,tarjetas-credito-intereses-cargos-defensa-honduras,"score=0 imp=0 ctr=0 pos=0","Reclama Cargos Indebidos Tarjeta Crédito Honduras","Conoce tus derechos y cómo reclamar cargos indebidos en tu tarjeta de crédito en Honduras. Guía legal sobre Ley del Consumidor y CNBS.","Tarjetas de Crédito en Honduras",APPROVED_TITLE_META,"Reclamar cargos indebidos en tarjeta de crédito en Honduras","Sus derechos y cómo reclamar cargos indebidos en su tarjeta de crédito en Honduras, según la Ley del Consumidor y la CNBS.","Title en imperativo y con orden atípico. H1 ya válido.","METADATA_ONLY: Ley del Consumidor/CNBS ya citadas en el body."
https://www.pinedayasociadoshn.com/blog/practica-legal/pineda-asociados-bufete-multidisciplinario-honduras,pineda-asociados-bufete-multidisciplinario-honduras,"score=0 imp=0 ctr=0 pos=0","Bufete Multidisciplinario Honduras | Pineda y Asociados","Descubra cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene. Asesoría legal completa para empresas y familias.","Bufete Multidisciplinario en Honduras",APPROVED_TITLE_META,"Bufete multidisciplinario en Honduras","Cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene para empresas y familias.","Marca en title (redundante en página del bufete). H1 ya válido.","METADATA_ONLY: sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/derecho-aduanero/zonas-libres-zoli-beneficios-fiscales-honduras,zonas-libres-zoli-beneficios-fiscales-honduras,"score=0 imp=0 ctr=0 pos=0","Zonas Libres (ZOLI) Honduras: Beneficios","Descubra los beneficios fiscales y requisitos para operar en Zonas Libres (ZOLI) de Honduras. Ideal para Inversión Extranjera Directa (IED) con exenciones","Zonas Libres en Honduras (ZOLI): Beneficios Fiscales y Requisitos Legales",APPROVED_METADATA_ONLY,"Zonas Libres (ZOLI) Honduras: Beneficios","Beneficios fiscales y requisitos para operar en Zonas Libres (ZOLI) de Honduras, incluida la inversión extranjera directa.","Meta truncada ('con exenciones'). Title/H1 ya válidos.","METADATA_ONLY: sin cifras nuevas; beneficios ya en el body."
https://www.pinedayasociadoshn.com/blog/regulacion-sanitaria/habilitacion-clinicas-hospitales,habilitacion-clinicas-hospitales,"score=0 imp=0 ctr=0 pos=0","Licencia Sanitaria Honduras: Guía Completa","Obtén tu Licencia Sanitaria en Honduras. Guía completa de requisitos, trámites ante SESAL y ARSA, y cómo el Portal Digital de Inversiones (PDI) puede","Licencia Sanitaria en Honduras: Guía Completa",APPROVED_TITLE_META_H1,"Licencia sanitaria en Honduras: requisitos y trámites","Requisitos y trámites para obtener la licencia sanitaria en Honduras ante SESAL y ARSA.","Title y H1 con 'Guía Completa' (plantilla) y title sin 'en'; meta truncada.","METADATA_ONLY: SESAL/ARSA ya citadas en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/derecho-mercantil/titulos-valores-cheques-sin-fondo-honduras,titulos-valores-cheques-sin-fondo-honduras,"score=0 imp=0 ctr=0 pos=0","Cheques sin Fondos en Honduras | Pineda y Asociados","Descubra cómo actuar ante un cheque sin fondos en Honduras. Plazos, protesto notarial, acción cambiaria y denuncia penal. Proteja sus","Cheques sin Fondo en Honduras: Protesto Notarial",APPROVED_TITLE_META,"Cheques sin fondos en Honduras: cómo actuar","Cómo actuar ante un cheque sin fondos en Honduras: plazos, protesto notarial, acción cambiaria y denuncia penal.","Marca en title y meta truncada ('Proteja sus'). H1 ya válido.","METADATA_ONLY: protesto/acción cambiaria ya en el body; sin cifras nuevas."
https://www.pinedayasociadoshn.com/blog/derecho-bancario/creditos-reestructuracion-deudas,creditos-reestructuracion-deudas,"score=0 imp=0 ctr=0 pos=0","Reestructuración de Deuda en Honduras | Pineda y Asociados","Aprenda cómo reestructurar su deuda en Honduras. Modifique plazos, tasas e intereses con la guía legal y pasos prácticos. Consulte a expertos.","Reestructuración de Deuda en Honduras",APPROVED_TITLE_META,"Reestructuración de deuda en Honduras: cómo negociarla","Cómo reestructurar su deuda en Honduras: modificar plazos, tasas e intereses con el respaldo legal.","Marca en title y meta con 'Aprenda... Consulte a expertos'. H1 ya válido.","METADATA_ONLY: sin cifras nuevas; opciones ya en el body."
https://www.pinedayasociadoshn.com/blog/tributario/defensa-sar-choluteca,defensa-sar-choluteca,"score=0 imp=0 ctr=0 pos=0","Defensa ante el SAR en Choluteca | Pineda y Asociados","Reciba asesoría legal experta para su defensa ante fiscalizaciones del SAR en Choluteca, Honduras. Conozca plazos, procedimientos y sus derechos.","Defensa ante el SAR en Choluteca",APPROVED_TITLE_META,"Defensa ante el SAR en Choluteca","Asesoría legal para la defensa ante fiscalizaciones del SAR en Choluteca: plazos, procedimientos y sus derechos.","Marca en title y meta con 'Reciba asesoría legal experta'. H1 ya válido.","METADATA_ONLY: plazos/procedimientos ya en el body; sin cifras nuevas."
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-vs-juicio-cual-elegir,mediacion-vs-juicio-cual-elegir,"score=0 imp=0 ctr=0 pos=0","Mediación vs Juicio en Honduras | Pineda y Asociados","Descubra las diferencias clave entre mediación y juicio en Honduras. Conozca cuándo usar cada método para resolver sus conflictos legales de forma","Mediación vs juicio en Honduras",APPROVED_TITLE_META,"Mediación vs juicio en Honduras: cuál elegir","Diferencias clave entre mediación y juicio en Honduras y cuándo conviene usar cada método para resolver conflictos legales.","Marca en title y meta truncada ('de forma'). H1 ya válido.","METADATA_ONLY: sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/propiedad-intelectual/derechos-de-autor-proteccion-registro-honduras,derechos-de-autor-proteccion-registro-honduras,"score=0 imp=0 ctr=0 pos=0","Derechos de Autor en Honduras: Protección","Descubre cómo proteger tus obras literarias y artísticas en Honduras. Conoce la Ley, el registro ante DIGEPIH y tus derechos morales y patrimoniales.","Derechos de Autor en Honduras: Protección y Registro de Obras",APPROVED_METADATA_ONLY,"Derechos de Autor en Honduras: Protección","Cómo proteger sus obras literarias y artísticas en Honduras: la Ley, el registro ante DIGEPIH y sus derechos morales y patrimoniales.","Meta informal ('Descubre... tus'). Title/H1 ya válidos.","METADATA_ONLY: DIGEPIH ya citado en el body; sin hechos nuevos."
https://www.pinedayasociadoshn.com/blog/conciliacion-arbitraje/mediacion-familiar-cuando-funciona-honduras,mediacion-familiar-cuando-funciona-honduras,"score=0 imp=0 ctr=0 pos=0","Mediación Familiar Obligatoria en Honduras","Descubra si la mediación familiar es obligatoria en Honduras antes de un juicio. Conozca el proceso, cuándo aplica y cuándo no. Abogados expertos.","Mediación Familiar en Honduras",APPROVED_METADATA_ONLY,"Mediación Familiar Obligatoria en Honduras","Si la mediación familiar es obligatoria en Honduras antes de un juicio: proceso, cuándo aplica y cuándo no.","Meta con 'Descubra... Abogados expertos'. Title/H1 ya válidos.","METADATA_ONLY: sin hechos nuevos; proceso ya en el body."
