slug,url,publication_status,final_classification,batch,action_required,review_date
"abogado-aduanero-san-lorenzo","https://www.pinedayasociadoshn.com/blog/derecho-aduanero/abogado-aduanero-san-lorenzo","published","APPROVED_TITLE_META_H1","4","false","2026-09-01"
"abogado-civil-choluteca","https://www.pinedayasociadoshn.com/blog/derecho-civil/abogado-civil-choluteca","published","APPROVED_TITLE_META","3","false","2026-09-01"
"abogado-empresas-san-lorenzo","https://www.pinedayasociadoshn.com/blog/derecho-mercantil/abogado-empresas-san-lorenzo","published","APPROVED_TITLE_META","8","false","2026-09-01"
"abogado-familia-choluteca","https://www.pinedayasociadoshn.com/blog/derecho-de-familia/abogado-familia-choluteca","published","APPROVED_TITLE_META","5","false","2026-09-01"
"abogado-laboral-choluteca","https://www.pinedayasociadoshn.com/blog/derecho-laboral/abogado-laboral-choluteca","published","APPROVED_TITLE_META","5","false","2026-09-01"
"abogado-penalista-choluteca","https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-choluteca","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogado-penalista-sur-honduras","https://www.pinedayasociadoshn.com/blog/derecho-penal/abogado-penalista-sur-honduras","published","APPROVED_TITLE_META","5","false","2026-09-01"
"abogados-en-amapala-valle","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-amapala-valle","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-choluteca","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-choluteca","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-marcovia-choluteca","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-marcovia-choluteca","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-nacaome","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-nacaome","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-pespire-choluteca","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-pespire-choluteca","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-san-lorenzo","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-lorenzo","unpublished","UNPUBLISHED","-","false","2026-09-01"
"abogados-en-san-marcos-de-colon-choluteca","https://www.pinedayasociadoshn.com/blog/practica-legal/abogados-en-san-marcos-de-colon-choluteca","unpublished","UNPUBLISHED","-","false","2026-09-01"
